action,sample_id,input_path,split,source
thumbdown,thumbdown (149)__Cam_4,./dataset/multiview3d_blender/thumbdown/thumbdown (149)/Cam_4.npy,train,multiview3d_Cam_4
thumbdown,thumbdown (149)__Cam_5,./dataset/multiview3d_blender/thumbdown/thumbdown (149)/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_Set2_ (568),./dataset/skeleton_final_v2/ok/ok_Set2_ (568).npy,train,original_3d
ok,ok_Set2_ (568)__Cam_0,./dataset/multiview3d_blender/ok/ok_Set2_ (568)/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_Set2_ (568)__Cam_2,./dataset/multiview3d_blender/ok/ok_Set2_ (568)/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_Set2_ (568)__Cam_4,./dataset/multiview3d_blender/ok/ok_Set2_ (568)/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_Set2_ (568)__Cam_5,./dataset/multiview3d_blender/ok/ok_Set2_ (568)/Cam_5.npy,train,multiview3d_Cam_5
thumbup,thumbup_6767,./dataset/skeleton_final_v2/thumbup/thumbup_6767.npy,train,original_3d
thumbup,thumbup_6767__Cam_0,./dataset/multiview3d_blender/thumbup/thumbup_6767/Cam_0.npy,train,multiview3d_Cam_0
thumbup,thumbup_6767__Cam_2,./dataset/multiview3d_blender/thumbup/thumbup_6767/Cam_2.npy,train,multiview3d_Cam_2
thumbup,thumbup_6767__Cam_4,./dataset/multiview3d_blender/thumbup/thumbup_6767/Cam_4.npy,train,multiview3d_Cam_4
thumbup,thumbup_6767__Cam_5,./dataset/multiview3d_blender/thumbup/thumbup_6767/Cam_5.npy,train,multiview3d_Cam_5
the-finger,the-finger-set2 (189),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (189).npy,train,original_3d
the-finger,the-finger-set2 (189)__Cam_0,./dataset/multiview3d_blender/the-finger/the-finger-set2 (189)/Cam_0.npy,train,multiview3d_Cam_0
the-finger,the-finger-set2 (189)__Cam_2,./dataset/multiview3d_blender/the-finger/the-finger-set2 (189)/Cam_2.npy,train,multiview3d_Cam_2
the-finger,the-finger-set2 (189)__Cam_4,./dataset/multiview3d_blender/the-finger/the-finger-set2 (189)/Cam_4.npy,train,multiview3d_Cam_4
the-finger,the-finger-set2 (189)__Cam_5,./dataset/multiview3d_blender/the-finger/the-finger-set2 (189)/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_4019,./dataset/skeleton_final_v2/ok/ok_4019.npy,train,original_3d
ok,ok_4019__Cam_0,./dataset/multiview3d_blender/ok/ok_4019/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_4019__Cam_2,./dataset/multiview3d_blender/ok/ok_4019/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_4019__Cam_4,./dataset/multiview3d_blender/ok/ok_4019/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_4019__Cam_5,./dataset/multiview3d_blender/ok/ok_4019/Cam_5.npy,train,multiview3d_Cam_5
the-finger,the-finger_2282,./dataset/skeleton_final_v2/the-finger/the-finger_2282.npy,train,original_3d
the-finger,the-finger_2282__Cam_0,./dataset/multiview3d_blender/the-finger/the-finger_2282/Cam_0.npy,train,multiview3d_Cam_0
the-finger,the-finger_2282__Cam_2,./dataset/multiview3d_blender/the-finger/the-finger_2282/Cam_2.npy,train,multiview3d_Cam_2
the-finger,the-finger_2282__Cam_4,./dataset/multiview3d_blender/the-finger/the-finger_2282/Cam_4.npy,train,multiview3d_Cam_4
the-finger,the-finger_2282__Cam_5,./dataset/multiview3d_blender/the-finger/the-finger_2282/Cam_5.npy,train,multiview3d_Cam_5
scissors,scissors-set2 (150),./dataset/skeleton_final_v2/scissors/scissors-set2 (150).npy,train,original_3d
scissors,scissors-set2 (150)__Cam_0,./dataset/multiview3d_blender/scissors/scissors-set2 (150)/Cam_0.npy,train,multiview3d_Cam_0
scissors,scissors-set2 (150)__Cam_2,./dataset/multiview3d_blender/scissors/scissors-set2 (150)/Cam_2.npy,train,multiview3d_Cam_2
scissors,scissors-set2 (150)__Cam_4,./dataset/multiview3d_blender/scissors/scissors-set2 (150)/Cam_4.npy,train,multiview3d_Cam_4
scissors,scissors-set2 (150)__Cam_5,./dataset/multiview3d_blender/scissors/scissors-set2 (150)/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_6184,./dataset/skeleton_final_v2/ok/ok_6184.npy,train,original_3d
ok,ok_6184__Cam_0,./dataset/multiview3d_blender/ok/ok_6184/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_6184__Cam_2,./dataset/multiview3d_blender/ok/ok_6184/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_6184__Cam_4,./dataset/multiview3d_blender/ok/ok_6184/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_6184__Cam_5,./dataset/multiview3d_blender/ok/ok_6184/Cam_5.npy,train,multiview3d_Cam_5
thumbdown,thumbdown_6242,./dataset/skeleton_final_v2/thumbdown/thumbdown_6242.npy,train,original_3d
thumbdown,thumbdown_6242__Cam_0,./dataset/multiview3d_blender/thumbdown/thumbdown_6242/Cam_0.npy,train,multiview3d_Cam_0
thumbdown,thumbdown_6242__Cam_2,./dataset/multiview3d_blender/thumbdown/thumbdown_6242/Cam_2.npy,train,multiview3d_Cam_2
thumbdown,thumbdown_6242__Cam_4,./dataset/multiview3d_blender/thumbdown/thumbdown_6242/Cam_4.npy,train,multiview3d_Cam_4
thumbdown,thumbdown_6242__Cam_5,./dataset/multiview3d_blender/thumbdown/thumbdown_6242/Cam_5.npy,train,multiview3d_Cam_5
paper,paper-set2 (233),./dataset/skeleton_final_v2/paper/paper-set2 (233).npy,train,original_3d
paper,paper-set2 (233)__Cam_0,./dataset/multiview3d_blender/paper/paper-set2 (233)/Cam_0.npy,train,multiview3d_Cam_0
paper,paper-set2 (233)__Cam_2,./dataset/multiview3d_blender/paper/paper-set2 (233)/Cam_2.npy,train,multiview3d_Cam_2
paper,paper-set2 (233)__Cam_4,./dataset/multiview3d_blender/paper/paper-set2 (233)/Cam_4.npy,train,multiview3d_Cam_4
paper,paper-set2 (233)__Cam_5,./dataset/multiview3d_blender/paper/paper-set2 (233)/Cam_5.npy,train,multiview3d_Cam_5
thumbup,thumbup (151),./dataset/skeleton_final_v2/thumbup/thumbup (151).npy,train,original_3d
thumbup,thumbup (151)__Cam_0,./dataset/multiview3d_blender/thumbup/thumbup (151)/Cam_0.npy,train,multiview3d_Cam_0
thumbup,thumbup (151)__Cam_2,./dataset/multiview3d_blender/thumbup/thumbup (151)/Cam_2.npy,train,multiview3d_Cam_2
thumbup,thumbup (151)__Cam_4,./dataset/multiview3d_blender/thumbup/thumbup (151)/Cam_4.npy,train,multiview3d_Cam_4
thumbup,thumbup (151)__Cam_5,./dataset/multiview3d_blender/thumbup/thumbup (151)/Cam_5.npy,train,multiview3d_Cam_5
thumbup,thumbup (7),./dataset/skeleton_final_v2/thumbup/thumbup (7).npy,train,original_3d
thumbup,thumbup (7)__Cam_0,./dataset/multiview3d_blender/thumbup/thumbup (7)/Cam_0.npy,train,multiview3d_Cam_0
thumbup,thumbup (7)__Cam_2,./dataset/multiview3d_blender/thumbup/thumbup (7)/Cam_2.npy,train,multiview3d_Cam_2
thumbup,thumbup (7)__Cam_4,./dataset/multiview3d_blender/thumbup/thumbup (7)/Cam_4.npy,train,multiview3d_Cam_4
thumbup,thumbup (7)__Cam_5,./dataset/multiview3d_blender/thumbup/thumbup (7)/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_4100,./dataset/skeleton_final_v2/ok/ok_4100.npy,train,original_3d
ok,ok_4100__Cam_0,./dataset/multiview3d_blender/ok/ok_4100/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_4100__Cam_2,./dataset/multiview3d_blender/ok/ok_4100/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_4100__Cam_4,./dataset/multiview3d_blender/ok/ok_4100/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_4100__Cam_5,./dataset/multiview3d_blender/ok/ok_4100/Cam_5.npy,train,multiview3d_Cam_5
thumbdown,thumbdown (230),./dataset/skeleton_final_v2/thumbdown/thumbdown (230).npy,train,original_3d
thumbdown,thumbdown (230)__Cam_0,./dataset/multiview3d_blender/thumbdown/thumbdown (230)/Cam_0.npy,train,multiview3d_Cam_0
thumbdown,thumbdown (230)__Cam_2,./dataset/multiview3d_blender/thumbdown/thumbdown (230)/Cam_2.npy,train,multiview3d_Cam_2
thumbdown,thumbdown (230)__Cam_4,./dataset/multiview3d_blender/thumbdown/thumbdown (230)/Cam_4.npy,train,multiview3d_Cam_4
thumbdown,thumbdown (230)__Cam_5,./dataset/multiview3d_blender/thumbdown/thumbdown (230)/Cam_5.npy,train,multiview3d_Cam_5
the-finger,the-finger_1357,./dataset/skeleton_final_v2/the-finger/the-finger_1357.npy,train,original_3d
the-finger,the-finger_1357__Cam_0,./dataset/multiview3d_blender/the-finger/the-finger_1357/Cam_0.npy,train,multiview3d_Cam_0
the-finger,the-finger_1357__Cam_2,./dataset/multiview3d_blender/the-finger/the-finger_1357/Cam_2.npy,train,multiview3d_Cam_2
the-finger,the-finger_1357__Cam_4,./dataset/multiview3d_blender/the-finger/the-finger_1357/Cam_4.npy,train,multiview3d_Cam_4
the-finger,the-finger_1357__Cam_5,./dataset/multiview3d_blender/the-finger/the-finger_1357/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_Set2_ (406),./dataset/skeleton_final_v2/ok/ok_Set2_ (406).npy,train,original_3d
ok,ok_Set2_ (406)__Cam_0,./dataset/multiview3d_blender/ok/ok_Set2_ (406)/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_Set2_ (406)__Cam_2,./dataset/multiview3d_blender/ok/ok_Set2_ (406)/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_Set2_ (406)__Cam_4,./dataset/multiview3d_blender/ok/ok_Set2_ (406)/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_Set2_ (406)__Cam_5,./dataset/multiview3d_blender/ok/ok_Set2_ (406)/Cam_5.npy,train,multiview3d_Cam_5
paper,paper_1854,./dataset/skeleton_final_v2/paper/paper_1854.npy,train,original_3d
paper,paper_1854__Cam_0,./dataset/multiview3d_blender/paper/paper_1854/Cam_0.npy,train,multiview3d_Cam_0
paper,paper_1854__Cam_2,./dataset/multiview3d_blender/paper/paper_1854/Cam_2.npy,train,multiview3d_Cam_2
paper,paper_1854__Cam_4,./dataset/multiview3d_blender/paper/paper_1854/Cam_4.npy,train,multiview3d_Cam_4
paper,paper_1854__Cam_5,./dataset/multiview3d_blender/paper/paper_1854/Cam_5.npy,train,multiview3d_Cam_5
the-finger,the-finger (121),./dataset/skeleton_final_v2/the-finger/the-finger (121).npy,train,original_3d
the-finger,the-finger (121)__Cam_0,./dataset/multiview3d_blender/the-finger/the-finger (121)/Cam_0.npy,train,multiview3d_Cam_0
the-finger,the-finger (121)__Cam_2,./dataset/multiview3d_blender/the-finger/the-finger (121)/Cam_2.npy,train,multiview3d_Cam_2
the-finger,the-finger (121)__Cam_4,./dataset/multiview3d_blender/the-finger/the-finger (121)/Cam_4.npy,train,multiview3d_Cam_4
the-finger,the-finger (121)__Cam_5,./dataset/multiview3d_blender/the-finger/the-finger (121)/Cam_5.npy,train,multiview3d_Cam_5
scissors,scissors-set2 (320),./dataset/skeleton_final_v2/scissors/scissors-set2 (320).npy,train,original_3d
scissors,scissors-set2 (320)__Cam_0,./dataset/multiview3d_blender/scissors/scissors-set2 (320)/Cam_0.npy,train,multiview3d_Cam_0
scissors,scissors-set2 (320)__Cam_2,./dataset/multiview3d_blender/scissors/scissors-set2 (320)/Cam_2.npy,train,multiview3d_Cam_2
scissors,scissors-set2 (320)__Cam_4,./dataset/multiview3d_blender/scissors/scissors-set2 (320)/Cam_4.npy,train,multiview3d_Cam_4
scissors,scissors-set2 (320)__Cam_5,./dataset/multiview3d_blender/scissors/scissors-set2 (320)/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_6992,./dataset/skeleton_final_v2/ok/ok_6992.npy,train,original_3d
ok,ok_6992__Cam_0,./dataset/multiview3d_blender/ok/ok_6992/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_6992__Cam_2,./dataset/multiview3d_blender/ok/ok_6992/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_6992__Cam_4,./dataset/multiview3d_blender/ok/ok_6992/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_6992__Cam_5,./dataset/multiview3d_blender/ok/ok_6992/Cam_5.npy,train,multiview3d_Cam_5
scissors,scissors (158),./dataset/skeleton_final_v2/scissors/scissors (158).npy,train,original_3d
scissors,scissors (158)__Cam_0,./dataset/multiview3d_blender/scissors/scissors (158)/Cam_0.npy,train,multiview3d_Cam_0
scissors,scissors (158)__Cam_2,./dataset/multiview3d_blender/scissors/scissors (158)/Cam_2.npy,train,multiview3d_Cam_2
scissors,scissors (158)__Cam_4,./dataset/multiview3d_blender/scissors/scissors (158)/Cam_4.npy,train,multiview3d_Cam_4
scissors,scissors (158)__Cam_5,./dataset/multiview3d_blender/scissors/scissors (158)/Cam_5.npy,train,multiview3d_Cam_5
scissors,scissors-set2 (573),./dataset/skeleton_final_v2/scissors/scissors-set2 (573).npy,train,original_3d
scissors,scissors-set2 (573)__Cam_0,./dataset/multiview3d_blender/scissors/scissors-set2 (573)/Cam_0.npy,train,multiview3d_Cam_0
scissors,scissors-set2 (573)__Cam_2,./dataset/multiview3d_blender/scissors/scissors-set2 (573)/Cam_2.npy,train,multiview3d_Cam_2
scissors,scissors-set2 (573)__Cam_4,./dataset/multiview3d_blender/scissors/scissors-set2 (573)/Cam_4.npy,train,multiview3d_Cam_4
scissors,scissors-set2 (573)__Cam_5,./dataset/multiview3d_blender/scissors/scissors-set2 (573)/Cam_5.npy,train,multiview3d_Cam_5
thumbdown,thumbdown_8214,./dataset/skeleton_final_v2/thumbdown/thumbdown_8214.npy,train,original_3d
thumbdown,thumbdown_8214__Cam_0,./dataset/multiview3d_blender/thumbdown/thumbdown_8214/Cam_0.npy,train,multiview3d_Cam_0
thumbdown,thumbdown_8214__Cam_2,./dataset/multiview3d_blender/thumbdown/thumbdown_8214/Cam_2.npy,train,multiview3d_Cam_2
thumbdown,thumbdown_8214__Cam_4,./dataset/multiview3d_blender/thumbdown/thumbdown_8214/Cam_4.npy,train,multiview3d_Cam_4
thumbdown,thumbdown_8214__Cam_5,./dataset/multiview3d_blender/thumbdown/thumbdown_8214/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_803,./dataset/skeleton_final_v2/ok/ok_803.npy,train,original_3d
ok,ok_803__Cam_0,./dataset/multiview3d_blender/ok/ok_803/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_803__Cam_2,./dataset/multiview3d_blender/ok/ok_803/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_803__Cam_4,./dataset/multiview3d_blender/ok/ok_803/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_803__Cam_5,./dataset/multiview3d_blender/ok/ok_803/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_7674,./dataset/skeleton_final_v2/ok/ok_7674.npy,train,original_3d
ok,ok_7674__Cam_0,./dataset/multiview3d_blender/ok/ok_7674/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_7674__Cam_2,./dataset/multiview3d_blender/ok/ok_7674/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_7674__Cam_4,./dataset/multiview3d_blender/ok/ok_7674/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_7674__Cam_5,./dataset/multiview3d_blender/ok/ok_7674/Cam_5.npy,train,multiview3d_Cam_5
the-finger,the-finger (150),./dataset/skeleton_final_v2/the-finger/the-finger (150).npy,train,original_3d
the-finger,the-finger (150)__Cam_0,./dataset/multiview3d_blender/the-finger/the-finger (150)/Cam_0.npy,train,multiview3d_Cam_0
the-finger,the-finger (150)__Cam_2,./dataset/multiview3d_blender/the-finger/the-finger (150)/Cam_2.npy,train,multiview3d_Cam_2
the-finger,the-finger (150)__Cam_4,./dataset/multiview3d_blender/the-finger/the-finger (150)/Cam_4.npy,train,multiview3d_Cam_4
the-finger,the-finger (150)__Cam_5,./dataset/multiview3d_blender/the-finger/the-finger (150)/Cam_5.npy,train,multiview3d_Cam_5
the-finger,the-finger_7260,./dataset/skeleton_final_v2/the-finger/the-finger_7260.npy,train,original_3d
the-finger,the-finger_7260__Cam_0,./dataset/multiview3d_blender/the-finger/the-finger_7260/Cam_0.npy,train,multiview3d_Cam_0
the-finger,the-finger_7260__Cam_2,./dataset/multiview3d_blender/the-finger/the-finger_7260/Cam_2.npy,train,multiview3d_Cam_2
the-finger,the-finger_7260__Cam_4,./dataset/multiview3d_blender/the-finger/the-finger_7260/Cam_4.npy,train,multiview3d_Cam_4
the-finger,the-finger_7260__Cam_5,./dataset/multiview3d_blender/the-finger/the-finger_7260/Cam_5.npy,train,multiview3d_Cam_5
scissors,scissors-set2 (567),./dataset/skeleton_final_v2/scissors/scissors-set2 (567).npy,train,original_3d
scissors,scissors-set2 (567)__Cam_0,./dataset/multiview3d_blender/scissors/scissors-set2 (567)/Cam_0.npy,train,multiview3d_Cam_0
scissors,scissors-set2 (567)__Cam_2,./dataset/multiview3d_blender/scissors/scissors-set2 (567)/Cam_2.npy,train,multiview3d_Cam_2
scissors,scissors-set2 (567)__Cam_4,./dataset/multiview3d_blender/scissors/scissors-set2 (567)/Cam_4.npy,train,multiview3d_Cam_4
scissors,scissors-set2 (567)__Cam_5,./dataset/multiview3d_blender/scissors/scissors-set2 (567)/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_Set2_ (273),./dataset/skeleton_final_v2/ok/ok_Set2_ (273).npy,train,original_3d
ok,ok_Set2_ (273)__Cam_0,./dataset/multiview3d_blender/ok/ok_Set2_ (273)/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_Set2_ (273)__Cam_2,./dataset/multiview3d_blender/ok/ok_Set2_ (273)/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_Set2_ (273)__Cam_4,./dataset/multiview3d_blender/ok/ok_Set2_ (273)/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_Set2_ (273)__Cam_5,./dataset/multiview3d_blender/ok/ok_Set2_ (273)/Cam_5.npy,train,multiview3d_Cam_5
paper,paper_25,./dataset/skeleton_final_v2/paper/paper_25.npy,train,original_3d
paper,paper_25__Cam_0,./dataset/multiview3d_blender/paper/paper_25/Cam_0.npy,train,multiview3d_Cam_0
paper,paper_25__Cam_2,./dataset/multiview3d_blender/paper/paper_25/Cam_2.npy,train,multiview3d_Cam_2
paper,paper_25__Cam_4,./dataset/multiview3d_blender/paper/paper_25/Cam_4.npy,train,multiview3d_Cam_4
paper,paper_25__Cam_5,./dataset/multiview3d_blender/paper/paper_25/Cam_5.npy,train,multiview3d_Cam_5
paper,paper_4609,./dataset/skeleton_final_v2/paper/paper_4609.npy,train,original_3d
paper,paper_4609__Cam_0,./dataset/multiview3d_blender/paper/paper_4609/Cam_0.npy,train,multiview3d_Cam_0
paper,paper_4609__Cam_2,./dataset/multiview3d_blender/paper/paper_4609/Cam_2.npy,train,multiview3d_Cam_2
paper,paper_4609__Cam_4,./dataset/multiview3d_blender/paper/paper_4609/Cam_4.npy,train,multiview3d_Cam_4
paper,paper_4609__Cam_5,./dataset/multiview3d_blender/paper/paper_4609/Cam_5.npy,train,multiview3d_Cam_5
paper,paper_2499,./dataset/skeleton_final_v2/paper/paper_2499.npy,train,original_3d
paper,paper_2499__Cam_0,./dataset/multiview3d_blender/paper/paper_2499/Cam_0.npy,train,multiview3d_Cam_0
paper,paper_2499__Cam_2,./dataset/multiview3d_blender/paper/paper_2499/Cam_2.npy,train,multiview3d_Cam_2
paper,paper_2499__Cam_4,./dataset/multiview3d_blender/paper/paper_2499/Cam_4.npy,train,multiview3d_Cam_4
paper,paper_2499__Cam_5,./dataset/multiview3d_blender/paper/paper_2499/Cam_5.npy,train,multiview3d_Cam_5
thumbdown,thumbdown (54),./dataset/skeleton_final_v2/thumbdown/thumbdown (54).npy,train,original_3d
thumbdown,thumbdown (54)__Cam_0,./dataset/multiview3d_blender/thumbdown/thumbdown (54)/Cam_0.npy,train,multiview3d_Cam_0
thumbdown,thumbdown (54)__Cam_2,./dataset/multiview3d_blender/thumbdown/thumbdown (54)/Cam_2.npy,train,multiview3d_Cam_2
thumbdown,thumbdown (54)__Cam_4,./dataset/multiview3d_blender/thumbdown/thumbdown (54)/Cam_4.npy,train,multiview3d_Cam_4
thumbdown,thumbdown (54)__Cam_5,./dataset/multiview3d_blender/thumbdown/thumbdown (54)/Cam_5.npy,train,multiview3d_Cam_5
paper,paper (44),./dataset/skeleton_final_v2/paper/paper (44).npy,train,original_3d
paper,paper (44)__Cam_0,./dataset/multiview3d_blender/paper/paper (44)/Cam_0.npy,train,multiview3d_Cam_0
paper,paper (44)__Cam_2,./dataset/multiview3d_blender/paper/paper (44)/Cam_2.npy,train,multiview3d_Cam_2
paper,paper (44)__Cam_4,./dataset/multiview3d_blender/paper/paper (44)/Cam_4.npy,train,multiview3d_Cam_4
paper,paper (44)__Cam_5,./dataset/multiview3d_blender/paper/paper (44)/Cam_5.npy,train,multiview3d_Cam_5
rock,rock (19),./dataset/skeleton_final_v2/rock/rock (19).npy,train,original_3d
rock,rock (19)__Cam_0,./dataset/multiview3d_blender/rock/rock (19)/Cam_0.npy,train,multiview3d_Cam_0
rock,rock (19)__Cam_2,./dataset/multiview3d_blender/rock/rock (19)/Cam_2.npy,train,multiview3d_Cam_2
rock,rock (19)__Cam_4,./dataset/multiview3d_blender/rock/rock (19)/Cam_4.npy,train,multiview3d_Cam_4
rock,rock (19)__Cam_5,./dataset/multiview3d_blender/rock/rock (19)/Cam_5.npy,train,multiview3d_Cam_5
ok,ok_1197,./dataset/skeleton_final_v2/ok/ok_1197.npy,train,original_3d
ok,ok_1197__Cam_0,./dataset/multiview3d_blender/ok/ok_1197/Cam_0.npy,train,multiview3d_Cam_0
ok,ok_1197__Cam_2,./dataset/multiview3d_blender/ok/ok_1197/Cam_2.npy,train,multiview3d_Cam_2
ok,ok_1197__Cam_4,./dataset/multiview3d_blender/ok/ok_1197/Cam_4.npy,train,multiview3d_Cam_4
ok,ok_1197__Cam_5,./dataset/multiview3d_blender/ok/ok_1197/Cam_5.npy,train,multiview3d_Cam_5
scissors,scissors (74),./dataset/skeleton_final_v2/scissors/scissors (74).npy,train,original_3d
scissors,scissors (74)__Cam_0,./dataset/multiview3d_blender/scissors/scissors (74)/Cam_0.npy,train,multiview3d_Cam_0
scissors,scissors (74)__Cam_2,./dataset/multiview3d_blender/scissors/scissors (74)/Cam_2.npy,train,multiview3d_Cam_2
scissors,scissors (74)__Cam_4,./dataset/multiview3d_blender/scissors/scissors (74)/Cam_4.npy,train,multiview3d_Cam_4
scissors,scissors (74)__Cam_5,./dataset/multiview3d_blender/scissors/scissors (74)/Cam_5.npy,train,multiview3d_Cam_5
thumbdown,thumbdown (261),./dataset/skeleton_final_v2/thumbdown/thumbdown (261).npy,train,original_3d
thumbdown,thumbdown (261)__Cam_0,./dataset/multiview3d_blender/thumbdown/thumbdown (261)/Cam_0.npy,train,multiview3d_Cam_0
thumbdown,thumbdown (261)__Cam_2,./dataset/multiview3d_blender/thumbdown/thumbdown (261)/Cam_2.npy,train,multiview3d_Cam_2
thumbdown,thumbdown (261)__Cam_4,./dataset/multiview3d_blender/thumbdown/thumbdown (261)/Cam_4.npy,train,multiview3d_Cam_4
thumbdown,thumbdown (261)__Cam_5,./dataset/multiview3d_blender/thumbdown/thumbdown (261)/Cam_5.npy,train,multiview3d_Cam_5
thumbdown,thumbdown_5311,./dataset/skeleton_final_v2/thumbdown/thumbdown_5311.npy,train,original_3d
thumbdown,thumbdown_5311__Cam_0,./dataset/multiview3d_blender/thumbdown/thumbdown_5311/Cam_0.npy,train,multiview3d_Cam_0
