action,sample_id,cam_0_path,cam_2_path,cam_4_path,cam_5_path,split
paper,paper_1854,./dataset/multiview_blender/paper/paper_1854/Cam_0.npy,./dataset/multiview_blender/paper/paper_1854/Cam_2.npy,./dataset/multiview_blender/paper/paper_1854/Cam_4.npy,./dataset/multiview_blender/paper/paper_1854/Cam_5.npy,train
the-finger,the-finger (121),./dataset/multiview_blender/the-finger/the-finger (121)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger (121)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger (121)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger (121)/Cam_5.npy,train
scissors,scissors-set2 (320),./dataset/multiview_blender/scissors/scissors-set2 (320)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors-set2 (320)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors-set2 (320)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors-set2 (320)/Cam_5.npy,train
ok,ok_6992,./dataset/multiview_blender/ok/ok_6992/Cam_0.npy,./dataset/multiview_blender/ok/ok_6992/Cam_2.npy,./dataset/multiview_blender/ok/ok_6992/Cam_4.npy,./dataset/multiview_blender/ok/ok_6992/Cam_5.npy,train
scissors,scissors (158),./dataset/multiview_blender/scissors/scissors (158)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors (158)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors (158)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors (158)/Cam_5.npy,train
scissors,scissors-set2 (573),./dataset/multiview_blender/scissors/scissors-set2 (573)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors-set2 (573)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors-set2 (573)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors-set2 (573)/Cam_5.npy,train
thumbdown,thumbdown_8214,./dataset/multiview_blender/thumbdown/thumbdown_8214/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown_8214/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown_8214/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown_8214/Cam_5.npy,train
ok,ok_803,./dataset/multiview_blender/ok/ok_803/Cam_0.npy,./dataset/multiview_blender/ok/ok_803/Cam_2.npy,./dataset/multiview_blender/ok/ok_803/Cam_4.npy,./dataset/multiview_blender/ok/ok_803/Cam_5.npy,train
ok,ok_7674,./dataset/multiview_blender/ok/ok_7674/Cam_0.npy,./dataset/multiview_blender/ok/ok_7674/Cam_2.npy,./dataset/multiview_blender/ok/ok_7674/Cam_4.npy,./dataset/multiview_blender/ok/ok_7674/Cam_5.npy,train
the-finger,the-finger (150),./dataset/multiview_blender/the-finger/the-finger (150)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger (150)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger (150)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger (150)/Cam_5.npy,train
the-finger,the-finger_7260,./dataset/multiview_blender/the-finger/the-finger_7260/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger_7260/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger_7260/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger_7260/Cam_5.npy,train
scissors,scissors-set2 (567),./dataset/multiview_blender/scissors/scissors-set2 (567)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors-set2 (567)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors-set2 (567)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors-set2 (567)/Cam_5.npy,train
ok,ok_Set2_ (273),./dataset/multiview_blender/ok/ok_Set2_ (273)/Cam_0.npy,./dataset/multiview_blender/ok/ok_Set2_ (273)/Cam_2.npy,./dataset/multiview_blender/ok/ok_Set2_ (273)/Cam_4.npy,./dataset/multiview_blender/ok/ok_Set2_ (273)/Cam_5.npy,train
paper,paper_25,./dataset/multiview_blender/paper/paper_25/Cam_0.npy,./dataset/multiview_blender/paper/paper_25/Cam_2.npy,./dataset/multiview_blender/paper/paper_25/Cam_4.npy,./dataset/multiview_blender/paper/paper_25/Cam_5.npy,train
paper,paper_4609,./dataset/multiview_blender/paper/paper_4609/Cam_0.npy,./dataset/multiview_blender/paper/paper_4609/Cam_2.npy,./dataset/multiview_blender/paper/paper_4609/Cam_4.npy,./dataset/multiview_blender/paper/paper_4609/Cam_5.npy,train
paper,paper_2499,./dataset/multiview_blender/paper/paper_2499/Cam_0.npy,./dataset/multiview_blender/paper/paper_2499/Cam_2.npy,./dataset/multiview_blender/paper/paper_2499/Cam_4.npy,./dataset/multiview_blender/paper/paper_2499/Cam_5.npy,train
thumbdown,thumbdown (54),./dataset/multiview_blender/thumbdown/thumbdown (54)/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown (54)/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown (54)/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown (54)/Cam_5.npy,train
paper,paper (44),./dataset/multiview_blender/paper/paper (44)/Cam_0.npy,./dataset/multiview_blender/paper/paper (44)/Cam_2.npy,./dataset/multiview_blender/paper/paper (44)/Cam_4.npy,./dataset/multiview_blender/paper/paper (44)/Cam_5.npy,train
rock,rock (19),./dataset/multiview_blender/rock/rock (19)/Cam_0.npy,./dataset/multiview_blender/rock/rock (19)/Cam_2.npy,./dataset/multiview_blender/rock/rock (19)/Cam_4.npy,./dataset/multiview_blender/rock/rock (19)/Cam_5.npy,train
ok,ok_1197,./dataset/multiview_blender/ok/ok_1197/Cam_0.npy,./dataset/multiview_blender/ok/ok_1197/Cam_2.npy,./dataset/multiview_blender/ok/ok_1197/Cam_4.npy,./dataset/multiview_blender/ok/ok_1197/Cam_5.npy,train
scissors,scissors (74),./dataset/multiview_blender/scissors/scissors (74)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors (74)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors (74)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors (74)/Cam_5.npy,train
thumbdown,thumbdown (261),./dataset/multiview_blender/thumbdown/thumbdown (261)/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown (261)/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown (261)/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown (261)/Cam_5.npy,train
thumbdown,thumbdown_5311,./dataset/multiview_blender/thumbdown/thumbdown_5311/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown_5311/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown_5311/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown_5311/Cam_5.npy,train
thumbup,thumbup_6002,./dataset/multiview_blender/thumbup/thumbup_6002/Cam_0.npy,./dataset/multiview_blender/thumbup/thumbup_6002/Cam_2.npy,./dataset/multiview_blender/thumbup/thumbup_6002/Cam_4.npy,./dataset/multiview_blender/thumbup/thumbup_6002/Cam_5.npy,train
the-finger,the-finger-set2 (321),./dataset/multiview_blender/the-finger/the-finger-set2 (321)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (321)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (321)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (321)/Cam_5.npy,train
thumbdown,thumbdown (37),./dataset/multiview_blender/thumbdown/thumbdown (37)/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown (37)/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown (37)/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown (37)/Cam_5.npy,train
thumbup,thumbup (56),./dataset/multiview_blender/thumbup/thumbup (56)/Cam_0.npy,./dataset/multiview_blender/thumbup/thumbup (56)/Cam_2.npy,./dataset/multiview_blender/thumbup/thumbup (56)/Cam_4.npy,./dataset/multiview_blender/thumbup/thumbup (56)/Cam_5.npy,train
scissors,scissors-set2 (587),./dataset/multiview_blender/scissors/scissors-set2 (587)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors-set2 (587)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors-set2 (587)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors-set2 (587)/Cam_5.npy,train
ok,ok_Set2_ (443),./dataset/multiview_blender/ok/ok_Set2_ (443)/Cam_0.npy,./dataset/multiview_blender/ok/ok_Set2_ (443)/Cam_2.npy,./dataset/multiview_blender/ok/ok_Set2_ (443)/Cam_4.npy,./dataset/multiview_blender/ok/ok_Set2_ (443)/Cam_5.npy,train
paper,paper_7968,./dataset/multiview_blender/paper/paper_7968/Cam_0.npy,./dataset/multiview_blender/paper/paper_7968/Cam_2.npy,./dataset/multiview_blender/paper/paper_7968/Cam_4.npy,./dataset/multiview_blender/paper/paper_7968/Cam_5.npy,train
scissors,scissors_6967,./dataset/multiview_blender/scissors/scissors_6967/Cam_0.npy,./dataset/multiview_blender/scissors/scissors_6967/Cam_2.npy,./dataset/multiview_blender/scissors/scissors_6967/Cam_4.npy,./dataset/multiview_blender/scissors/scissors_6967/Cam_5.npy,train
scissors,scissors-set2 (426),./dataset/multiview_blender/scissors/scissors-set2 (426)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors-set2 (426)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors-set2 (426)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors-set2 (426)/Cam_5.npy,train
rock,rock (6),./dataset/multiview_blender/rock/rock (6)/Cam_0.npy,./dataset/multiview_blender/rock/rock (6)/Cam_2.npy,./dataset/multiview_blender/rock/rock (6)/Cam_4.npy,./dataset/multiview_blender/rock/rock (6)/Cam_5.npy,train
paper,paper (261),./dataset/multiview_blender/paper/paper (261)/Cam_0.npy,./dataset/multiview_blender/paper/paper (261)/Cam_2.npy,./dataset/multiview_blender/paper/paper (261)/Cam_4.npy,./dataset/multiview_blender/paper/paper (261)/Cam_5.npy,train
paper,paper-set2 (366),./dataset/multiview_blender/paper/paper-set2 (366)/Cam_0.npy,./dataset/multiview_blender/paper/paper-set2 (366)/Cam_2.npy,./dataset/multiview_blender/paper/paper-set2 (366)/Cam_4.npy,./dataset/multiview_blender/paper/paper-set2 (366)/Cam_5.npy,train
the-finger,the-finger_7488,./dataset/multiview_blender/the-finger/the-finger_7488/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger_7488/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger_7488/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger_7488/Cam_5.npy,train
paper,paper-set2 (398),./dataset/multiview_blender/paper/paper-set2 (398)/Cam_0.npy,./dataset/multiview_blender/paper/paper-set2 (398)/Cam_2.npy,./dataset/multiview_blender/paper/paper-set2 (398)/Cam_4.npy,./dataset/multiview_blender/paper/paper-set2 (398)/Cam_5.npy,train
scissors,scissors-set2 (664),./dataset/multiview_blender/scissors/scissors-set2 (664)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors-set2 (664)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors-set2 (664)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors-set2 (664)/Cam_5.npy,train
ok,ok_7010,./dataset/multiview_blender/ok/ok_7010/Cam_0.npy,./dataset/multiview_blender/ok/ok_7010/Cam_2.npy,./dataset/multiview_blender/ok/ok_7010/Cam_4.npy,./dataset/multiview_blender/ok/ok_7010/Cam_5.npy,train
thumbup,thumbup (314),./dataset/multiview_blender/thumbup/thumbup (314)/Cam_0.npy,./dataset/multiview_blender/thumbup/thumbup (314)/Cam_2.npy,./dataset/multiview_blender/thumbup/thumbup (314)/Cam_4.npy,./dataset/multiview_blender/thumbup/thumbup (314)/Cam_5.npy,train
the-finger,the-finger (39),./dataset/multiview_blender/the-finger/the-finger (39)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger (39)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger (39)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger (39)/Cam_5.npy,train
thumbup,thumbup (206),./dataset/multiview_blender/thumbup/thumbup (206)/Cam_0.npy,./dataset/multiview_blender/thumbup/thumbup (206)/Cam_2.npy,./dataset/multiview_blender/thumbup/thumbup (206)/Cam_4.npy,./dataset/multiview_blender/thumbup/thumbup (206)/Cam_5.npy,train
ok,ok_7685,./dataset/multiview_blender/ok/ok_7685/Cam_0.npy,./dataset/multiview_blender/ok/ok_7685/Cam_2.npy,./dataset/multiview_blender/ok/ok_7685/Cam_4.npy,./dataset/multiview_blender/ok/ok_7685/Cam_5.npy,train
paper,paper-set2 (177),./dataset/multiview_blender/paper/paper-set2 (177)/Cam_0.npy,./dataset/multiview_blender/paper/paper-set2 (177)/Cam_2.npy,./dataset/multiview_blender/paper/paper-set2 (177)/Cam_4.npy,./dataset/multiview_blender/paper/paper-set2 (177)/Cam_5.npy,train
thumbup,hand-11-2155,./dataset/multiview_blender/thumbup/hand-11-2155/Cam_0.npy,./dataset/multiview_blender/thumbup/hand-11-2155/Cam_2.npy,./dataset/multiview_blender/thumbup/hand-11-2155/Cam_4.npy,./dataset/multiview_blender/thumbup/hand-11-2155/Cam_5.npy,train
rock,rock-set2 (284),./dataset/multiview_blender/rock/rock-set2 (284)/Cam_0.npy,./dataset/multiview_blender/rock/rock-set2 (284)/Cam_2.npy,./dataset/multiview_blender/rock/rock-set2 (284)/Cam_4.npy,./dataset/multiview_blender/rock/rock-set2 (284)/Cam_5.npy,train
thumbdown,thumbdown_2241,./dataset/multiview_blender/thumbdown/thumbdown_2241/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown_2241/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown_2241/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown_2241/Cam_5.npy,train
the-finger,the-finger-set2 (218),./dataset/multiview_blender/the-finger/the-finger-set2 (218)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (218)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (218)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (218)/Cam_5.npy,train
the-finger,the-finger_6465,./dataset/multiview_blender/the-finger/the-finger_6465/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger_6465/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger_6465/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger_6465/Cam_5.npy,train
rock,rock_6321,./dataset/multiview_blender/rock/rock_6321/Cam_0.npy,./dataset/multiview_blender/rock/rock_6321/Cam_2.npy,./dataset/multiview_blender/rock/rock_6321/Cam_4.npy,./dataset/multiview_blender/rock/rock_6321/Cam_5.npy,train
paper,paper_4597,./dataset/multiview_blender/paper/paper_4597/Cam_0.npy,./dataset/multiview_blender/paper/paper_4597/Cam_2.npy,./dataset/multiview_blender/paper/paper_4597/Cam_4.npy,./dataset/multiview_blender/paper/paper_4597/Cam_5.npy,train
paper,paper_6707,./dataset/multiview_blender/paper/paper_6707/Cam_0.npy,./dataset/multiview_blender/paper/paper_6707/Cam_2.npy,./dataset/multiview_blender/paper/paper_6707/Cam_4.npy,./dataset/multiview_blender/paper/paper_6707/Cam_5.npy,train
ok,ok_72,./dataset/multiview_blender/ok/ok_72/Cam_0.npy,./dataset/multiview_blender/ok/ok_72/Cam_2.npy,./dataset/multiview_blender/ok/ok_72/Cam_4.npy,./dataset/multiview_blender/ok/ok_72/Cam_5.npy,train
the-finger,the-finger (114),./dataset/multiview_blender/the-finger/the-finger (114)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger (114)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger (114)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger (114)/Cam_5.npy,train
scissors,scissors_53,./dataset/multiview_blender/scissors/scissors_53/Cam_0.npy,./dataset/multiview_blender/scissors/scissors_53/Cam_2.npy,./dataset/multiview_blender/scissors/scissors_53/Cam_4.npy,./dataset/multiview_blender/scissors/scissors_53/Cam_5.npy,train
paper,paper-set2 (160),./dataset/multiview_blender/paper/paper-set2 (160)/Cam_0.npy,./dataset/multiview_blender/paper/paper-set2 (160)/Cam_2.npy,./dataset/multiview_blender/paper/paper-set2 (160)/Cam_4.npy,./dataset/multiview_blender/paper/paper-set2 (160)/Cam_5.npy,train
thumbdown,thumbdown_4359,./dataset/multiview_blender/thumbdown/thumbdown_4359/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown_4359/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown_4359/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown_4359/Cam_5.npy,train
scissors,scissors-set2 (134),./dataset/multiview_blender/scissors/scissors-set2 (134)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors-set2 (134)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors-set2 (134)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors-set2 (134)/Cam_5.npy,train
the-finger,the-finger-set2 (277),./dataset/multiview_blender/the-finger/the-finger-set2 (277)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (277)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (277)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger-set2 (277)/Cam_5.npy,train
thumbdown,thumbdown (216),./dataset/multiview_blender/thumbdown/thumbdown (216)/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown (216)/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown (216)/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown (216)/Cam_5.npy,train
thumbdown,thumbdown (198),./dataset/multiview_blender/thumbdown/thumbdown (198)/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown (198)/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown (198)/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown (198)/Cam_5.npy,train
the-finger,the-finger (126),./dataset/multiview_blender/the-finger/the-finger (126)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger (126)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger (126)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger (126)/Cam_5.npy,train
scissors,scissors (57),./dataset/multiview_blender/scissors/scissors (57)/Cam_0.npy,./dataset/multiview_blender/scissors/scissors (57)/Cam_2.npy,./dataset/multiview_blender/scissors/scissors (57)/Cam_4.npy,./dataset/multiview_blender/scissors/scissors (57)/Cam_5.npy,train
thumbup,thumbup_4150,./dataset/multiview_blender/thumbup/thumbup_4150/Cam_0.npy,./dataset/multiview_blender/thumbup/thumbup_4150/Cam_2.npy,./dataset/multiview_blender/thumbup/thumbup_4150/Cam_4.npy,./dataset/multiview_blender/thumbup/thumbup_4150/Cam_5.npy,train
ok,ok_Set2_ (359),./dataset/multiview_blender/ok/ok_Set2_ (359)/Cam_0.npy,./dataset/multiview_blender/ok/ok_Set2_ (359)/Cam_2.npy,./dataset/multiview_blender/ok/ok_Set2_ (359)/Cam_4.npy,./dataset/multiview_blender/ok/ok_Set2_ (359)/Cam_5.npy,train
thumbdown,thumbdown_6451,./dataset/multiview_blender/thumbdown/thumbdown_6451/Cam_0.npy,./dataset/multiview_blender/thumbdown/thumbdown_6451/Cam_2.npy,./dataset/multiview_blender/thumbdown/thumbdown_6451/Cam_4.npy,./dataset/multiview_blender/thumbdown/thumbdown_6451/Cam_5.npy,train
scissors,scissors_756,./dataset/multiview_blender/scissors/scissors_756/Cam_0.npy,./dataset/multiview_blender/scissors/scissors_756/Cam_2.npy,./dataset/multiview_blender/scissors/scissors_756/Cam_4.npy,./dataset/multiview_blender/scissors/scissors_756/Cam_5.npy,train
thumbup,thumbup_137,./dataset/multiview_blender/thumbup/thumbup_137/Cam_0.npy,./dataset/multiview_blender/thumbup/thumbup_137/Cam_2.npy,./dataset/multiview_blender/thumbup/thumbup_137/Cam_4.npy,./dataset/multiview_blender/thumbup/thumbup_137/Cam_5.npy,train
ok,ok (119),./dataset/multiview_blender/ok/ok (119)/Cam_0.npy,./dataset/multiview_blender/ok/ok (119)/Cam_2.npy,./dataset/multiview_blender/ok/ok (119)/Cam_4.npy,./dataset/multiview_blender/ok/ok (119)/Cam_5.npy,train
paper,paper-set2 (264),./dataset/multiview_blender/paper/paper-set2 (264)/Cam_0.npy,./dataset/multiview_blender/paper/paper-set2 (264)/Cam_2.npy,./dataset/multiview_blender/paper/paper-set2 (264)/Cam_4.npy,./dataset/multiview_blender/paper/paper-set2 (264)/Cam_5.npy,train
the-finger,the-finger (7),./dataset/multiview_blender/the-finger/the-finger (7)/Cam_0.npy,./dataset/multiview_blender/the-finger/the-finger (7)/Cam_2.npy,./dataset/multiview_blender/the-finger/the-finger (7)/Cam_4.npy,./dataset/multiview_blender/the-finger/the-finger (7)/Cam_5.npy,train
ok,ok (156),./dataset/multiview_blender/ok/ok (156)/Cam_0.npy,./dataset/multiview_blender/ok/ok (156)/Cam_2.npy,./dataset/multiview_blender/ok/ok (156)/Cam_4.npy,./dataset/multiview_blender/ok/ok (156)/Cam_5.npy,train
