action,sample_id,input_path,split
thumbup,hand-10-2105,./dataset/skeleton_final_v2/thumbup/hand-10-2105.npy,train
the-finger,the-finger-set2 (105),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (105).npy,train
rock,rock-set2 (567),./dataset/skeleton_final_v2/rock/rock-set2 (567).npy,train
the-finger,the-finger-set2 (193),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (193).npy,train
rock,rock (188),./dataset/skeleton_final_v2/rock/rock (188).npy,train
rock,rock-set2 (170),./dataset/skeleton_final_v2/rock/rock-set2 (170).npy,train
thumbup,thumbup_2071,./dataset/skeleton_final_v2/thumbup/thumbup_2071.npy,train
scissors,scissors_3880,./dataset/skeleton_final_v2/scissors/scissors_3880.npy,train
ok,ok_Set2_ (96),./dataset/skeleton_final_v2/ok/ok_Set2_ (96).npy,train
scissors,scissors-set2 (623),./dataset/skeleton_final_v2/scissors/scissors-set2 (623).npy,train
the-finger,the-finger_6075,./dataset/skeleton_final_v2/the-finger/the-finger_6075.npy,train
thumbup,thumbup (460),./dataset/skeleton_final_v2/thumbup/thumbup (460).npy,train
paper,paper-set2 (143),./dataset/skeleton_final_v2/paper/paper-set2 (143).npy,train
the-finger,the-finger-set2 (418),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (418).npy,train
thumbup,thumbup_8108,./dataset/skeleton_final_v2/thumbup/thumbup_8108.npy,train
ok,ok_7676,./dataset/skeleton_final_v2/ok/ok_7676.npy,train
the-finger,the-finger (27),./dataset/skeleton_final_v2/the-finger/the-finger (27).npy,train
paper,paper (183),./dataset/skeleton_final_v2/paper/paper (183).npy,train
paper,paper_5475,./dataset/skeleton_final_v2/paper/paper_5475.npy,train
scissors,scissors (308),./dataset/skeleton_final_v2/scissors/scissors (308).npy,train
scissors,scissors-set2 (611),./dataset/skeleton_final_v2/scissors/scissors-set2 (611).npy,train
rock,rock-set2 (162),./dataset/skeleton_final_v2/rock/rock-set2 (162).npy,train
thumbup,thumbup (109),./dataset/skeleton_final_v2/thumbup/thumbup (109).npy,train
thumbdown,thumbdown_5344,./dataset/skeleton_final_v2/thumbdown/thumbdown_5344.npy,train
ok,ok_Set2_ (533),./dataset/skeleton_final_v2/ok/ok_Set2_ (533).npy,train
rock,rock-set2 (592),./dataset/skeleton_final_v2/rock/rock-set2 (592).npy,train
ok,ok_2017,./dataset/skeleton_final_v2/ok/ok_2017.npy,train
rock,rock-set2 (481),./dataset/skeleton_final_v2/rock/rock-set2 (481).npy,train
paper,paper_7308,./dataset/skeleton_final_v2/paper/paper_7308.npy,train
thumbup,hand-10-2595,./dataset/skeleton_final_v2/thumbup/hand-10-2595.npy,train
paper,paper-set2 (276),./dataset/skeleton_final_v2/paper/paper-set2 (276).npy,train
the-finger,the-finger-set2 (153),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (153).npy,train
ok,ok (229),./dataset/skeleton_final_v2/ok/ok (229).npy,train
thumbdown,thumbdown_4420,./dataset/skeleton_final_v2/thumbdown/thumbdown_4420.npy,train
paper,paper_719,./dataset/skeleton_final_v2/paper/paper_719.npy,train
rock,rock-set2 (59),./dataset/skeleton_final_v2/rock/rock-set2 (59).npy,train
ok,ok_Set2_ (322),./dataset/skeleton_final_v2/ok/ok_Set2_ (322).npy,train
thumbup,thumbup (289),./dataset/skeleton_final_v2/thumbup/thumbup (289).npy,train
thumbdown,hand-9-2005,./dataset/skeleton_final_v2/thumbdown/hand-9-2005.npy,train
rock,rock_7513,./dataset/skeleton_final_v2/rock/rock_7513.npy,train
paper,paper (40),./dataset/skeleton_final_v2/paper/paper (40).npy,train
thumbup,thumbup_8124,./dataset/skeleton_final_v2/thumbup/thumbup_8124.npy,train
ok,ok (126),./dataset/skeleton_final_v2/ok/ok (126).npy,train
paper,paper-set2 (72),./dataset/skeleton_final_v2/paper/paper-set2 (72).npy,train
paper,paper-set2 (156),./dataset/skeleton_final_v2/paper/paper-set2 (156).npy,train
scissors,scissors (333),./dataset/skeleton_final_v2/scissors/scissors (333).npy,train
thumbdown,thumbdown (136),./dataset/skeleton_final_v2/thumbdown/thumbdown (136).npy,train
scissors,scissors-set2 (480),./dataset/skeleton_final_v2/scissors/scissors-set2 (480).npy,train
the-finger,the-finger-set2 (409),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (409).npy,train
the-finger,the-finger-set2 (403),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (403).npy,train
thumbdown,thumbdown (260),./dataset/skeleton_final_v2/thumbdown/thumbdown (260).npy,train
ok,ok_Set2_ (535),./dataset/skeleton_final_v2/ok/ok_Set2_ (535).npy,train
ok,ok_6180,./dataset/skeleton_final_v2/ok/ok_6180.npy,train
scissors,scissors_6372,./dataset/skeleton_final_v2/scissors/scissors_6372.npy,train
rock,rock-set2 (202),./dataset/skeleton_final_v2/rock/rock-set2 (202).npy,train
thumbup,thumbup (242),./dataset/skeleton_final_v2/thumbup/thumbup (242).npy,train
rock,rock-set2 (16),./dataset/skeleton_final_v2/rock/rock-set2 (16).npy,train
the-finger,the-finger_5644,./dataset/skeleton_final_v2/the-finger/the-finger_5644.npy,train
thumbdown,thumbdown_1313,./dataset/skeleton_final_v2/thumbdown/thumbdown_1313.npy,train
thumbup,thumbup_4200,./dataset/skeleton_final_v2/thumbup/thumbup_4200.npy,train
thumbup,thumbup_6764,./dataset/skeleton_final_v2/thumbup/thumbup_6764.npy,train
thumbdown,thumbdown (19),./dataset/skeleton_final_v2/thumbdown/thumbdown (19).npy,train
the-finger,the-finger_3523,./dataset/skeleton_final_v2/the-finger/the-finger_3523.npy,train
paper,paper (114),./dataset/skeleton_final_v2/paper/paper (114).npy,train
scissors,scissors_6166,./dataset/skeleton_final_v2/scissors/scissors_6166.npy,train
thumbup,hand-10-2535,./dataset/skeleton_final_v2/thumbup/hand-10-2535.npy,train
scissors,scissors-set2 (248),./dataset/skeleton_final_v2/scissors/scissors-set2 (248).npy,train
ok,ok_Set2_ (513),./dataset/skeleton_final_v2/ok/ok_Set2_ (513).npy,train
thumbdown,hand-9-1930,./dataset/skeleton_final_v2/thumbdown/hand-9-1930.npy,train
rock,rock-set2 (340),./dataset/skeleton_final_v2/rock/rock-set2 (340).npy,train
scissors,scissors-set2 (730),./dataset/skeleton_final_v2/scissors/scissors-set2 (730).npy,train
scissors,scissors-set2 (577),./dataset/skeleton_final_v2/scissors/scissors-set2 (577).npy,train
scissors,scissors-set2 (333),./dataset/skeleton_final_v2/scissors/scissors-set2 (333).npy,train
the-finger,the-finger_7072,./dataset/skeleton_final_v2/the-finger/the-finger_7072.npy,train
scissors,scissors-set2 (393),./dataset/skeleton_final_v2/scissors/scissors-set2 (393).npy,train
ok,ok_2725,./dataset/skeleton_final_v2/ok/ok_2725.npy,train
scissors,scissors-set2 (317),./dataset/skeleton_final_v2/scissors/scissors-set2 (317).npy,train
thumbup,thumbup_143,./dataset/skeleton_final_v2/thumbup/thumbup_143.npy,train
scissors,scissors (71),./dataset/skeleton_final_v2/scissors/scissors (71).npy,train
ok,ok_Set2_ (446),./dataset/skeleton_final_v2/ok/ok_Set2_ (446).npy,train
paper,paper-set2 (502),./dataset/skeleton_final_v2/paper/paper-set2 (502).npy,train
paper,paper_2545,./dataset/skeleton_final_v2/paper/paper_2545.npy,train
paper,paper (237),./dataset/skeleton_final_v2/paper/paper (237).npy,train
the-finger,the-finger (38),./dataset/skeleton_final_v2/the-finger/the-finger (38).npy,train
thumbdown,thumbdown (58),./dataset/skeleton_final_v2/thumbdown/thumbdown (58).npy,train
the-finger,the-finger (155),./dataset/skeleton_final_v2/the-finger/the-finger (155).npy,train
scissors,scissors (177),./dataset/skeleton_final_v2/scissors/scissors (177).npy,train
thumbdown,thumbdown_1331,./dataset/skeleton_final_v2/thumbdown/thumbdown_1331.npy,train
thumbup,thumbup (67),./dataset/skeleton_final_v2/thumbup/thumbup (67).npy,train
the-finger,the-finger_5355,./dataset/skeleton_final_v2/the-finger/the-finger_5355.npy,train
rock,rock-set2 (435),./dataset/skeleton_final_v2/rock/rock-set2 (435).npy,train
the-finger,the-finger-set2 (19),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (19).npy,train
thumbdown,thumbdown (170),./dataset/skeleton_final_v2/thumbdown/thumbdown (170).npy,train
thumbdown,thumbdown (306),./dataset/skeleton_final_v2/thumbdown/thumbdown (306).npy,train
paper,paper-set2 (443),./dataset/skeleton_final_v2/paper/paper-set2 (443).npy,train
scissors,scissors-set2 (37),./dataset/skeleton_final_v2/scissors/scissors-set2 (37).npy,train
scissors,scissors-set2 (273),./dataset/skeleton_final_v2/scissors/scissors-set2 (273).npy,train
ok,ok_Set2_ (278),./dataset/skeleton_final_v2/ok/ok_Set2_ (278).npy,train
paper,paper (259),./dataset/skeleton_final_v2/paper/paper (259).npy,train
paper,paper_4568,./dataset/skeleton_final_v2/paper/paper_4568.npy,train
ok,ok_6577,./dataset/skeleton_final_v2/ok/ok_6577.npy,train
paper,paper-set2 (271),./dataset/skeleton_final_v2/paper/paper-set2 (271).npy,train
thumbdown,thumbdown_6832,./dataset/skeleton_final_v2/thumbdown/thumbdown_6832.npy,train
ok,ok (147),./dataset/skeleton_final_v2/ok/ok (147).npy,train
ok,ok_2960,./dataset/skeleton_final_v2/ok/ok_2960.npy,train
paper,paper_2550,./dataset/skeleton_final_v2/paper/paper_2550.npy,train
thumbdown,thumbdown (36),./dataset/skeleton_final_v2/thumbdown/thumbdown (36).npy,train
scissors,scissors_6953,./dataset/skeleton_final_v2/scissors/scissors_6953.npy,train
thumbup,thumbup (474),./dataset/skeleton_final_v2/thumbup/thumbup (474).npy,train
ok,ok (107),./dataset/skeleton_final_v2/ok/ok (107).npy,train
thumbdown,thumbdown_5605,./dataset/skeleton_final_v2/thumbdown/thumbdown_5605.npy,train
thumbup,hand-7-1485,./dataset/skeleton_final_v2/thumbup/hand-7-1485.npy,train
thumbdown,hand-10-2215,./dataset/skeleton_final_v2/thumbdown/hand-10-2215.npy,train
thumbup,thumbup (76),./dataset/skeleton_final_v2/thumbup/thumbup (76).npy,train
ok,ok_Set2_ (346),./dataset/skeleton_final_v2/ok/ok_Set2_ (346).npy,train
the-finger,the-finger_9438,./dataset/skeleton_final_v2/the-finger/the-finger_9438.npy,train
thumbdown,thumbdown_7225,./dataset/skeleton_final_v2/thumbdown/thumbdown_7225.npy,train
thumbup,thumbup (105),./dataset/skeleton_final_v2/thumbup/thumbup (105).npy,train
scissors,scissors-set2 (269),./dataset/skeleton_final_v2/scissors/scissors-set2 (269).npy,train
ok,ok_Set2_ (438),./dataset/skeleton_final_v2/ok/ok_Set2_ (438).npy,train
scissors,scissors-set2 (223),./dataset/skeleton_final_v2/scissors/scissors-set2 (223).npy,train
scissors,scissors-set2 (52),./dataset/skeleton_final_v2/scissors/scissors-set2 (52).npy,train
ok,ok_Set2_ (480),./dataset/skeleton_final_v2/ok/ok_Set2_ (480).npy,train
thumbdown,hand-9-1990,./dataset/skeleton_final_v2/thumbdown/hand-9-1990.npy,train
ok,ok_Set2_ (254),./dataset/skeleton_final_v2/ok/ok_Set2_ (254).npy,train
paper,paper_5442,./dataset/skeleton_final_v2/paper/paper_5442.npy,train
scissors,scissors_8456,./dataset/skeleton_final_v2/scissors/scissors_8456.npy,train
thumbup,thumbup_5790,./dataset/skeleton_final_v2/thumbup/thumbup_5790.npy,train
thumbup,thumbup (126),./dataset/skeleton_final_v2/thumbup/thumbup (126).npy,train
scissors,scissors-set2 (746),./dataset/skeleton_final_v2/scissors/scissors-set2 (746).npy,train
paper,paper_5893,./dataset/skeleton_final_v2/paper/paper_5893.npy,train
scissors,scissors_5504,./dataset/skeleton_final_v2/scissors/scissors_5504.npy,train
scissors,scissors_6552,./dataset/skeleton_final_v2/scissors/scissors_6552.npy,train
the-finger,the-finger-set2 (89),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (89).npy,train
scissors,scissors-set2 (197),./dataset/skeleton_final_v2/scissors/scissors-set2 (197).npy,train
paper,paper (101),./dataset/skeleton_final_v2/paper/paper (101).npy,train
paper,paper-set2 (55),./dataset/skeleton_final_v2/paper/paper-set2 (55).npy,train
paper,paper-set2 (262),./dataset/skeleton_final_v2/paper/paper-set2 (262).npy,train
thumbup,thumbup (271),./dataset/skeleton_final_v2/thumbup/thumbup (271).npy,train
rock,rock-set2 (570),./dataset/skeleton_final_v2/rock/rock-set2 (570).npy,train
paper,paper-set2 (456),./dataset/skeleton_final_v2/paper/paper-set2 (456).npy,train
thumbdown,thumbdown (179),./dataset/skeleton_final_v2/thumbdown/thumbdown (179).npy,train
the-finger,the-finger-set2 (433),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (433).npy,train
ok,ok_Set2_ (34),./dataset/skeleton_final_v2/ok/ok_Set2_ (34).npy,train
paper,paper_8426,./dataset/skeleton_final_v2/paper/paper_8426.npy,train
the-finger,the-finger-set2 (99),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (99).npy,train
paper,paper-set2 (369),./dataset/skeleton_final_v2/paper/paper-set2 (369).npy,train
ok,ok_Set2_ (139),./dataset/skeleton_final_v2/ok/ok_Set2_ (139).npy,train
ok,ok_Set2_ (488),./dataset/skeleton_final_v2/ok/ok_Set2_ (488).npy,train
the-finger,the-finger-set2 (179),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (179).npy,train
ok,ok (196),./dataset/skeleton_final_v2/ok/ok (196).npy,train
thumbdown,hand-9-2115,./dataset/skeleton_final_v2/thumbdown/hand-9-2115.npy,train
paper,paper-set2 (268),./dataset/skeleton_final_v2/paper/paper-set2 (268).npy,train
rock,rock-set2 (521),./dataset/skeleton_final_v2/rock/rock-set2 (521).npy,train
rock,rock-set2 (606),./dataset/skeleton_final_v2/rock/rock-set2 (606).npy,train
thumbdown,thumbdown (302),./dataset/skeleton_final_v2/thumbdown/thumbdown (302).npy,train
scissors,scissors-set2 (540),./dataset/skeleton_final_v2/scissors/scissors-set2 (540).npy,train
thumbdown,thumbdown (193),./dataset/skeleton_final_v2/thumbdown/thumbdown (193).npy,train
rock,rock-set2 (45),./dataset/skeleton_final_v2/rock/rock-set2 (45).npy,train
ok,ok (149),./dataset/skeleton_final_v2/ok/ok (149).npy,train
paper,paper (248),./dataset/skeleton_final_v2/paper/paper (248).npy,train
ok,ok_5538,./dataset/skeleton_final_v2/ok/ok_5538.npy,train
paper,paper (149),./dataset/skeleton_final_v2/paper/paper (149).npy,train
thumbdown,hand-10-615,./dataset/skeleton_final_v2/thumbdown/hand-10-615.npy,train
ok,ok_Set2_ (127),./dataset/skeleton_final_v2/ok/ok_Set2_ (127).npy,train
thumbup,thumbup (496),./dataset/skeleton_final_v2/thumbup/thumbup (496).npy,train
paper,paper_7952,./dataset/skeleton_final_v2/paper/paper_7952.npy,train
paper,paper_3782,./dataset/skeleton_final_v2/paper/paper_3782.npy,train
the-finger,the-finger-set2 (442),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (442).npy,train
paper,paper_33,./dataset/skeleton_final_v2/paper/paper_33.npy,train
ok,ok_Set2_ (140),./dataset/skeleton_final_v2/ok/ok_Set2_ (140).npy,train
the-finger,the-finger-set2 (18),./dataset/skeleton_final_v2/the-finger/the-finger-set2 (18).npy,train
the-finger,the-finger_5392,./dataset/skeleton_final_v2/the-finger/the-finger_5392.npy,train
thumbup,hand-10-1960,./dataset/skeleton_final_v2/thumbup/hand-10-1960.npy,train
ok,ok_Set2_ (375),./dataset/skeleton_final_v2/ok/ok_Set2_ (375).npy,train
paper,paper-set2 (231),./dataset/skeleton_final_v2/paper/paper-set2 (231).npy,train
the-finger,the-finger_5856,./dataset/skeleton_final_v2/the-finger/the-finger_5856.npy,train
rock,rock-set2 (145),./dataset/skeleton_final_v2/rock/rock-set2 (145).npy,train
scissors,scissors_6561,./dataset/skeleton_final_v2/scissors/scissors_6561.npy,train
ok,ok_Set2_ (447),./dataset/skeleton_final_v2/ok/ok_Set2_ (447).npy,train
scissors,scissors-set2 (10),./dataset/skeleton_final_v2/scissors/scissors-set2 (10).npy,train
paper,paper (12),./dataset/skeleton_final_v2/paper/paper (12).npy,train
thumbup,thumbup (246),./dataset/skeleton_final_v2/thumbup/thumbup (246).npy,train
scissors,scissors-set2 (551),./dataset/skeleton_final_v2/scissors/scissors-set2 (551).npy,train
scissors,scissors_6541,./dataset/skeleton_final_v2/scissors/scissors_6541.npy,train
rock,rock_6890,./dataset/skeleton_final_v2/rock/rock_6890.npy,train
rock,rock (238),./dataset/skeleton_final_v2/rock/rock (238).npy,train
scissors,scissors_4630,./dataset/skeleton_final_v2/scissors/scissors_4630.npy,train
thumbdown,thumbdown_4422,./dataset/skeleton_final_v2/thumbdown/thumbdown_4422.npy,train
scissors,scissors_6163,./dataset/skeleton_final_v2/scissors/scissors_6163.npy,train
ok,ok_8872,./dataset/skeleton_final_v2/ok/ok_8872.npy,train
scissors,scissors (138),./dataset/skeleton_final_v2/scissors/scissors (138).npy,train
thumbup,hand-9-1625,./dataset/skeleton_final_v2/thumbup/hand-9-1625.npy,train
thumbup,thumbup (343),./dataset/skeleton_final_v2/thumbup/thumbup (343).npy,train
scissors,scissors (264),./dataset/skeleton_final_v2/scissors/scissors (264).npy,train
the-finger,the-finger (37),./dataset/skeleton_final_v2/the-finger/the-finger (37).npy,train
ok,ok (35),./dataset/skeleton_final_v2/ok/ok (35).npy,train
paper,paper_741,./dataset/skeleton_final_v2/paper/paper_741.npy,train
thumbup,thumbup_7033,./dataset/skeleton_final_v2/thumbup/thumbup_7033.npy,train
scissors,scissors_6744,./dataset/skeleton_final_v2/scissors/scissors_6744.npy,train
