action,sample_id,cam_0_path,cam_1_path,cam_2_path,cam_3_path,split
scissors,scissors-set2 (150),./dataset/mv3d_salux/scissors/scissors-set2 (150)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors-set2 (150)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors-set2 (150)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors-set2 (150)/cam_3.npy,train
ok,ok_6184,./dataset/mv3d_salux/ok/ok_6184/cam_0.npy,./dataset/mv3d_salux/ok/ok_6184/cam_1.npy,./dataset/mv3d_salux/ok/ok_6184/cam_2.npy,./dataset/mv3d_salux/ok/ok_6184/cam_3.npy,train
thumbdown,thumbdown_6242,./dataset/mv3d_salux/thumbdown/thumbdown_6242/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown_6242/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown_6242/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown_6242/cam_3.npy,train
paper,paper-set2 (233),./dataset/mv3d_salux/paper/paper-set2 (233)/cam_0.npy,./dataset/mv3d_salux/paper/paper-set2 (233)/cam_1.npy,./dataset/mv3d_salux/paper/paper-set2 (233)/cam_2.npy,./dataset/mv3d_salux/paper/paper-set2 (233)/cam_3.npy,train
thumbup,thumbup (151),./dataset/mv3d_salux/thumbup/thumbup (151)/cam_0.npy,./dataset/mv3d_salux/thumbup/thumbup (151)/cam_1.npy,./dataset/mv3d_salux/thumbup/thumbup (151)/cam_2.npy,./dataset/mv3d_salux/thumbup/thumbup (151)/cam_3.npy,train
thumbup,thumbup (7),./dataset/mv3d_salux/thumbup/thumbup (7)/cam_0.npy,./dataset/mv3d_salux/thumbup/thumbup (7)/cam_1.npy,./dataset/mv3d_salux/thumbup/thumbup (7)/cam_2.npy,./dataset/mv3d_salux/thumbup/thumbup (7)/cam_3.npy,train
ok,ok_4100,./dataset/mv3d_salux/ok/ok_4100/cam_0.npy,./dataset/mv3d_salux/ok/ok_4100/cam_1.npy,./dataset/mv3d_salux/ok/ok_4100/cam_2.npy,./dataset/mv3d_salux/ok/ok_4100/cam_3.npy,train
thumbdown,thumbdown (230),./dataset/mv3d_salux/thumbdown/thumbdown (230)/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown (230)/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown (230)/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown (230)/cam_3.npy,train
the-finger,the-finger_1357,./dataset/mv3d_salux/the-finger/the-finger_1357/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger_1357/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger_1357/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger_1357/cam_3.npy,train
ok,ok_Set2_ (406),./dataset/mv3d_salux/ok/ok_Set2_ (406)/cam_0.npy,./dataset/mv3d_salux/ok/ok_Set2_ (406)/cam_1.npy,./dataset/mv3d_salux/ok/ok_Set2_ (406)/cam_2.npy,./dataset/mv3d_salux/ok/ok_Set2_ (406)/cam_3.npy,train
paper,paper_1854,./dataset/mv3d_salux/paper/paper_1854/cam_0.npy,./dataset/mv3d_salux/paper/paper_1854/cam_1.npy,./dataset/mv3d_salux/paper/paper_1854/cam_2.npy,./dataset/mv3d_salux/paper/paper_1854/cam_3.npy,train
the-finger,the-finger (121),./dataset/mv3d_salux/the-finger/the-finger (121)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger (121)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger (121)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger (121)/cam_3.npy,train
scissors,scissors-set2 (320),./dataset/mv3d_salux/scissors/scissors-set2 (320)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors-set2 (320)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors-set2 (320)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors-set2 (320)/cam_3.npy,train
ok,ok_6992,./dataset/mv3d_salux/ok/ok_6992/cam_0.npy,./dataset/mv3d_salux/ok/ok_6992/cam_1.npy,./dataset/mv3d_salux/ok/ok_6992/cam_2.npy,./dataset/mv3d_salux/ok/ok_6992/cam_3.npy,train
scissors,scissors (158),./dataset/mv3d_salux/scissors/scissors (158)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors (158)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors (158)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors (158)/cam_3.npy,train
scissors,scissors-set2 (573),./dataset/mv3d_salux/scissors/scissors-set2 (573)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors-set2 (573)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors-set2 (573)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors-set2 (573)/cam_3.npy,train
thumbdown,thumbdown_8214,./dataset/mv3d_salux/thumbdown/thumbdown_8214/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown_8214/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown_8214/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown_8214/cam_3.npy,train
ok,ok_803,./dataset/mv3d_salux/ok/ok_803/cam_0.npy,./dataset/mv3d_salux/ok/ok_803/cam_1.npy,./dataset/mv3d_salux/ok/ok_803/cam_2.npy,./dataset/mv3d_salux/ok/ok_803/cam_3.npy,train
ok,ok_7674,./dataset/mv3d_salux/ok/ok_7674/cam_0.npy,./dataset/mv3d_salux/ok/ok_7674/cam_1.npy,./dataset/mv3d_salux/ok/ok_7674/cam_2.npy,./dataset/mv3d_salux/ok/ok_7674/cam_3.npy,train
the-finger,the-finger (150),./dataset/mv3d_salux/the-finger/the-finger (150)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger (150)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger (150)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger (150)/cam_3.npy,train
the-finger,the-finger_7260,./dataset/mv3d_salux/the-finger/the-finger_7260/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger_7260/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger_7260/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger_7260/cam_3.npy,train
scissors,scissors-set2 (567),./dataset/mv3d_salux/scissors/scissors-set2 (567)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors-set2 (567)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors-set2 (567)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors-set2 (567)/cam_3.npy,train
ok,ok_Set2_ (273),./dataset/mv3d_salux/ok/ok_Set2_ (273)/cam_0.npy,./dataset/mv3d_salux/ok/ok_Set2_ (273)/cam_1.npy,./dataset/mv3d_salux/ok/ok_Set2_ (273)/cam_2.npy,./dataset/mv3d_salux/ok/ok_Set2_ (273)/cam_3.npy,train
paper,paper_25,./dataset/mv3d_salux/paper/paper_25/cam_0.npy,./dataset/mv3d_salux/paper/paper_25/cam_1.npy,./dataset/mv3d_salux/paper/paper_25/cam_2.npy,./dataset/mv3d_salux/paper/paper_25/cam_3.npy,train
paper,paper_4609,./dataset/mv3d_salux/paper/paper_4609/cam_0.npy,./dataset/mv3d_salux/paper/paper_4609/cam_1.npy,./dataset/mv3d_salux/paper/paper_4609/cam_2.npy,./dataset/mv3d_salux/paper/paper_4609/cam_3.npy,train
paper,paper_2499,./dataset/mv3d_salux/paper/paper_2499/cam_0.npy,./dataset/mv3d_salux/paper/paper_2499/cam_1.npy,./dataset/mv3d_salux/paper/paper_2499/cam_2.npy,./dataset/mv3d_salux/paper/paper_2499/cam_3.npy,train
thumbdown,thumbdown (54),./dataset/mv3d_salux/thumbdown/thumbdown (54)/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown (54)/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown (54)/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown (54)/cam_3.npy,train
paper,paper (44),./dataset/mv3d_salux/paper/paper (44)/cam_0.npy,./dataset/mv3d_salux/paper/paper (44)/cam_1.npy,./dataset/mv3d_salux/paper/paper (44)/cam_2.npy,./dataset/mv3d_salux/paper/paper (44)/cam_3.npy,train
rock,rock (19),./dataset/mv3d_salux/rock/rock (19)/cam_0.npy,./dataset/mv3d_salux/rock/rock (19)/cam_1.npy,./dataset/mv3d_salux/rock/rock (19)/cam_2.npy,./dataset/mv3d_salux/rock/rock (19)/cam_3.npy,train
ok,ok_1197,./dataset/mv3d_salux/ok/ok_1197/cam_0.npy,./dataset/mv3d_salux/ok/ok_1197/cam_1.npy,./dataset/mv3d_salux/ok/ok_1197/cam_2.npy,./dataset/mv3d_salux/ok/ok_1197/cam_3.npy,train
scissors,scissors (74),./dataset/mv3d_salux/scissors/scissors (74)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors (74)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors (74)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors (74)/cam_3.npy,train
thumbdown,thumbdown (261),./dataset/mv3d_salux/thumbdown/thumbdown (261)/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown (261)/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown (261)/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown (261)/cam_3.npy,train
thumbdown,thumbdown_5311,./dataset/mv3d_salux/thumbdown/thumbdown_5311/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown_5311/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown_5311/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown_5311/cam_3.npy,train
thumbup,thumbup_6002,./dataset/mv3d_salux/thumbup/thumbup_6002/cam_0.npy,./dataset/mv3d_salux/thumbup/thumbup_6002/cam_1.npy,./dataset/mv3d_salux/thumbup/thumbup_6002/cam_2.npy,./dataset/mv3d_salux/thumbup/thumbup_6002/cam_3.npy,train
the-finger,the-finger-set2 (321),./dataset/mv3d_salux/the-finger/the-finger-set2 (321)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (321)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (321)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (321)/cam_3.npy,train
thumbdown,thumbdown (37),./dataset/mv3d_salux/thumbdown/thumbdown (37)/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown (37)/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown (37)/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown (37)/cam_3.npy,train
thumbup,thumbup (56),./dataset/mv3d_salux/thumbup/thumbup (56)/cam_0.npy,./dataset/mv3d_salux/thumbup/thumbup (56)/cam_1.npy,./dataset/mv3d_salux/thumbup/thumbup (56)/cam_2.npy,./dataset/mv3d_salux/thumbup/thumbup (56)/cam_3.npy,train
scissors,scissors-set2 (587),./dataset/mv3d_salux/scissors/scissors-set2 (587)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors-set2 (587)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors-set2 (587)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors-set2 (587)/cam_3.npy,train
ok,ok_Set2_ (443),./dataset/mv3d_salux/ok/ok_Set2_ (443)/cam_0.npy,./dataset/mv3d_salux/ok/ok_Set2_ (443)/cam_1.npy,./dataset/mv3d_salux/ok/ok_Set2_ (443)/cam_2.npy,./dataset/mv3d_salux/ok/ok_Set2_ (443)/cam_3.npy,train
paper,paper_7968,./dataset/mv3d_salux/paper/paper_7968/cam_0.npy,./dataset/mv3d_salux/paper/paper_7968/cam_1.npy,./dataset/mv3d_salux/paper/paper_7968/cam_2.npy,./dataset/mv3d_salux/paper/paper_7968/cam_3.npy,train
scissors,scissors_6967,./dataset/mv3d_salux/scissors/scissors_6967/cam_0.npy,./dataset/mv3d_salux/scissors/scissors_6967/cam_1.npy,./dataset/mv3d_salux/scissors/scissors_6967/cam_2.npy,./dataset/mv3d_salux/scissors/scissors_6967/cam_3.npy,train
scissors,scissors-set2 (426),./dataset/mv3d_salux/scissors/scissors-set2 (426)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors-set2 (426)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors-set2 (426)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors-set2 (426)/cam_3.npy,train
rock,rock (6),./dataset/mv3d_salux/rock/rock (6)/cam_0.npy,./dataset/mv3d_salux/rock/rock (6)/cam_1.npy,./dataset/mv3d_salux/rock/rock (6)/cam_2.npy,./dataset/mv3d_salux/rock/rock (6)/cam_3.npy,train
paper,paper (261),./dataset/mv3d_salux/paper/paper (261)/cam_0.npy,./dataset/mv3d_salux/paper/paper (261)/cam_1.npy,./dataset/mv3d_salux/paper/paper (261)/cam_2.npy,./dataset/mv3d_salux/paper/paper (261)/cam_3.npy,train
paper,paper-set2 (366),./dataset/mv3d_salux/paper/paper-set2 (366)/cam_0.npy,./dataset/mv3d_salux/paper/paper-set2 (366)/cam_1.npy,./dataset/mv3d_salux/paper/paper-set2 (366)/cam_2.npy,./dataset/mv3d_salux/paper/paper-set2 (366)/cam_3.npy,train
the-finger,the-finger_7488,./dataset/mv3d_salux/the-finger/the-finger_7488/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger_7488/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger_7488/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger_7488/cam_3.npy,train
paper,paper-set2 (398),./dataset/mv3d_salux/paper/paper-set2 (398)/cam_0.npy,./dataset/mv3d_salux/paper/paper-set2 (398)/cam_1.npy,./dataset/mv3d_salux/paper/paper-set2 (398)/cam_2.npy,./dataset/mv3d_salux/paper/paper-set2 (398)/cam_3.npy,train
scissors,scissors-set2 (664),./dataset/mv3d_salux/scissors/scissors-set2 (664)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors-set2 (664)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors-set2 (664)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors-set2 (664)/cam_3.npy,train
ok,ok_7010,./dataset/mv3d_salux/ok/ok_7010/cam_0.npy,./dataset/mv3d_salux/ok/ok_7010/cam_1.npy,./dataset/mv3d_salux/ok/ok_7010/cam_2.npy,./dataset/mv3d_salux/ok/ok_7010/cam_3.npy,train
thumbup,thumbup (314),./dataset/mv3d_salux/thumbup/thumbup (314)/cam_0.npy,./dataset/mv3d_salux/thumbup/thumbup (314)/cam_1.npy,./dataset/mv3d_salux/thumbup/thumbup (314)/cam_2.npy,./dataset/mv3d_salux/thumbup/thumbup (314)/cam_3.npy,train
the-finger,the-finger (39),./dataset/mv3d_salux/the-finger/the-finger (39)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger (39)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger (39)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger (39)/cam_3.npy,train
thumbup,thumbup (206),./dataset/mv3d_salux/thumbup/thumbup (206)/cam_0.npy,./dataset/mv3d_salux/thumbup/thumbup (206)/cam_1.npy,./dataset/mv3d_salux/thumbup/thumbup (206)/cam_2.npy,./dataset/mv3d_salux/thumbup/thumbup (206)/cam_3.npy,train
ok,ok_7685,./dataset/mv3d_salux/ok/ok_7685/cam_0.npy,./dataset/mv3d_salux/ok/ok_7685/cam_1.npy,./dataset/mv3d_salux/ok/ok_7685/cam_2.npy,./dataset/mv3d_salux/ok/ok_7685/cam_3.npy,train
paper,paper-set2 (177),./dataset/mv3d_salux/paper/paper-set2 (177)/cam_0.npy,./dataset/mv3d_salux/paper/paper-set2 (177)/cam_1.npy,./dataset/mv3d_salux/paper/paper-set2 (177)/cam_2.npy,./dataset/mv3d_salux/paper/paper-set2 (177)/cam_3.npy,train
thumbup,hand-11-2155,./dataset/mv3d_salux/thumbup/hand-11-2155/cam_0.npy,./dataset/mv3d_salux/thumbup/hand-11-2155/cam_1.npy,./dataset/mv3d_salux/thumbup/hand-11-2155/cam_2.npy,./dataset/mv3d_salux/thumbup/hand-11-2155/cam_3.npy,train
rock,rock-set2 (284),./dataset/mv3d_salux/rock/rock-set2 (284)/cam_0.npy,./dataset/mv3d_salux/rock/rock-set2 (284)/cam_1.npy,./dataset/mv3d_salux/rock/rock-set2 (284)/cam_2.npy,./dataset/mv3d_salux/rock/rock-set2 (284)/cam_3.npy,train
thumbdown,thumbdown_2241,./dataset/mv3d_salux/thumbdown/thumbdown_2241/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown_2241/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown_2241/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown_2241/cam_3.npy,train
the-finger,the-finger-set2 (218),./dataset/mv3d_salux/the-finger/the-finger-set2 (218)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (218)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (218)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (218)/cam_3.npy,train
the-finger,the-finger_6465,./dataset/mv3d_salux/the-finger/the-finger_6465/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger_6465/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger_6465/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger_6465/cam_3.npy,train
rock,rock_6321,./dataset/mv3d_salux/rock/rock_6321/cam_0.npy,./dataset/mv3d_salux/rock/rock_6321/cam_1.npy,./dataset/mv3d_salux/rock/rock_6321/cam_2.npy,./dataset/mv3d_salux/rock/rock_6321/cam_3.npy,train
paper,paper_4597,./dataset/mv3d_salux/paper/paper_4597/cam_0.npy,./dataset/mv3d_salux/paper/paper_4597/cam_1.npy,./dataset/mv3d_salux/paper/paper_4597/cam_2.npy,./dataset/mv3d_salux/paper/paper_4597/cam_3.npy,train
paper,paper_6707,./dataset/mv3d_salux/paper/paper_6707/cam_0.npy,./dataset/mv3d_salux/paper/paper_6707/cam_1.npy,./dataset/mv3d_salux/paper/paper_6707/cam_2.npy,./dataset/mv3d_salux/paper/paper_6707/cam_3.npy,train
ok,ok_72,./dataset/mv3d_salux/ok/ok_72/cam_0.npy,./dataset/mv3d_salux/ok/ok_72/cam_1.npy,./dataset/mv3d_salux/ok/ok_72/cam_2.npy,./dataset/mv3d_salux/ok/ok_72/cam_3.npy,train
the-finger,the-finger (114),./dataset/mv3d_salux/the-finger/the-finger (114)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger (114)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger (114)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger (114)/cam_3.npy,train
scissors,scissors_53,./dataset/mv3d_salux/scissors/scissors_53/cam_0.npy,./dataset/mv3d_salux/scissors/scissors_53/cam_1.npy,./dataset/mv3d_salux/scissors/scissors_53/cam_2.npy,./dataset/mv3d_salux/scissors/scissors_53/cam_3.npy,train
paper,paper-set2 (160),./dataset/mv3d_salux/paper/paper-set2 (160)/cam_0.npy,./dataset/mv3d_salux/paper/paper-set2 (160)/cam_1.npy,./dataset/mv3d_salux/paper/paper-set2 (160)/cam_2.npy,./dataset/mv3d_salux/paper/paper-set2 (160)/cam_3.npy,train
thumbdown,thumbdown_4359,./dataset/mv3d_salux/thumbdown/thumbdown_4359/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown_4359/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown_4359/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown_4359/cam_3.npy,train
scissors,scissors-set2 (134),./dataset/mv3d_salux/scissors/scissors-set2 (134)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors-set2 (134)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors-set2 (134)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors-set2 (134)/cam_3.npy,train
the-finger,the-finger-set2 (277),./dataset/mv3d_salux/the-finger/the-finger-set2 (277)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (277)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (277)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger-set2 (277)/cam_3.npy,train
thumbdown,thumbdown (216),./dataset/mv3d_salux/thumbdown/thumbdown (216)/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown (216)/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown (216)/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown (216)/cam_3.npy,train
thumbdown,thumbdown (198),./dataset/mv3d_salux/thumbdown/thumbdown (198)/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown (198)/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown (198)/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown (198)/cam_3.npy,train
the-finger,the-finger (126),./dataset/mv3d_salux/the-finger/the-finger (126)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger (126)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger (126)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger (126)/cam_3.npy,train
scissors,scissors (57),./dataset/mv3d_salux/scissors/scissors (57)/cam_0.npy,./dataset/mv3d_salux/scissors/scissors (57)/cam_1.npy,./dataset/mv3d_salux/scissors/scissors (57)/cam_2.npy,./dataset/mv3d_salux/scissors/scissors (57)/cam_3.npy,train
thumbup,thumbup_4150,./dataset/mv3d_salux/thumbup/thumbup_4150/cam_0.npy,./dataset/mv3d_salux/thumbup/thumbup_4150/cam_1.npy,./dataset/mv3d_salux/thumbup/thumbup_4150/cam_2.npy,./dataset/mv3d_salux/thumbup/thumbup_4150/cam_3.npy,train
ok,ok_Set2_ (359),./dataset/mv3d_salux/ok/ok_Set2_ (359)/cam_0.npy,./dataset/mv3d_salux/ok/ok_Set2_ (359)/cam_1.npy,./dataset/mv3d_salux/ok/ok_Set2_ (359)/cam_2.npy,./dataset/mv3d_salux/ok/ok_Set2_ (359)/cam_3.npy,train
thumbdown,thumbdown_6451,./dataset/mv3d_salux/thumbdown/thumbdown_6451/cam_0.npy,./dataset/mv3d_salux/thumbdown/thumbdown_6451/cam_1.npy,./dataset/mv3d_salux/thumbdown/thumbdown_6451/cam_2.npy,./dataset/mv3d_salux/thumbdown/thumbdown_6451/cam_3.npy,train
scissors,scissors_756,./dataset/mv3d_salux/scissors/scissors_756/cam_0.npy,./dataset/mv3d_salux/scissors/scissors_756/cam_1.npy,./dataset/mv3d_salux/scissors/scissors_756/cam_2.npy,./dataset/mv3d_salux/scissors/scissors_756/cam_3.npy,train
thumbup,thumbup_137,./dataset/mv3d_salux/thumbup/thumbup_137/cam_0.npy,./dataset/mv3d_salux/thumbup/thumbup_137/cam_1.npy,./dataset/mv3d_salux/thumbup/thumbup_137/cam_2.npy,./dataset/mv3d_salux/thumbup/thumbup_137/cam_3.npy,train
ok,ok (119),./dataset/mv3d_salux/ok/ok (119)/cam_0.npy,./dataset/mv3d_salux/ok/ok (119)/cam_1.npy,./dataset/mv3d_salux/ok/ok (119)/cam_2.npy,./dataset/mv3d_salux/ok/ok (119)/cam_3.npy,train
paper,paper-set2 (264),./dataset/mv3d_salux/paper/paper-set2 (264)/cam_0.npy,./dataset/mv3d_salux/paper/paper-set2 (264)/cam_1.npy,./dataset/mv3d_salux/paper/paper-set2 (264)/cam_2.npy,./dataset/mv3d_salux/paper/paper-set2 (264)/cam_3.npy,train
the-finger,the-finger (7),./dataset/mv3d_salux/the-finger/the-finger (7)/cam_0.npy,./dataset/mv3d_salux/the-finger/the-finger (7)/cam_1.npy,./dataset/mv3d_salux/the-finger/the-finger (7)/cam_2.npy,./dataset/mv3d_salux/the-finger/the-finger (7)/cam_3.npy,train
ok,ok (156),./dataset/mv3d_salux/ok/ok (156)/cam_0.npy,./dataset/mv3d_salux/ok/ok (156)/cam_1.npy,./dataset/mv3d_salux/ok/ok (156)/cam_2.npy,./dataset/mv3d_salux/ok/ok (156)/cam_3.npy,train
