action,sample_id,split,orig_input_path,cam_0_path,cam_1_path,cam_2_path,cam_3_path,cam_4_path,cam_5_path,cam_6_path,cam_7_path
the-finger,the-finger_2282,train,./dataset/skeleton_final_v2/the-finger/the-finger_2282.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_2282_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_2282_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_2282_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_2282_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_2282_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_2282_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_2282_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_2282_cam7.npy
scissors,scissors-set2 (150),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (150).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (150)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (150)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (150)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (150)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (150)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (150)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (150)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (150)_cam7.npy
ok,ok_6184,train,./dataset/skeleton_final_v2/ok/ok_6184.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6184_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6184_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6184_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6184_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6184_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6184_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6184_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6184_cam7.npy
thumbdown,thumbdown_6242,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_6242.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6242_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6242_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6242_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6242_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6242_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6242_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6242_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_6242_cam7.npy
paper,paper-set2 (233),train,./dataset/skeleton_final_v2/paper/paper-set2 (233).npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (233)_cam0.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (233)_cam1.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (233)_cam2.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (233)_cam3.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (233)_cam4.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (233)_cam5.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (233)_cam6.npy,./dataset/salux_multiview3d_8cam_front/paper/paper-set2 (233)_cam7.npy
thumbup,thumbup (151),train,./dataset/skeleton_final_v2/thumbup/thumbup (151).npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (151)_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (151)_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (151)_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (151)_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (151)_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (151)_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (151)_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (151)_cam7.npy
thumbup,thumbup (7),train,./dataset/skeleton_final_v2/thumbup/thumbup (7).npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (7)_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (7)_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (7)_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (7)_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (7)_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (7)_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (7)_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbup/thumbup (7)_cam7.npy
ok,ok_4100,train,./dataset/skeleton_final_v2/ok/ok_4100.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4100_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4100_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4100_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4100_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4100_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4100_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4100_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_4100_cam7.npy
thumbdown,thumbdown (230),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (230).npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (230)_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (230)_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (230)_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (230)_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (230)_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (230)_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (230)_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (230)_cam7.npy
the-finger,the-finger_1357,train,./dataset/skeleton_final_v2/the-finger/the-finger_1357.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_1357_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_1357_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_1357_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_1357_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_1357_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_1357_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_1357_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_1357_cam7.npy
ok,ok_Set2_ (406),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (406).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (406)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (406)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (406)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (406)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (406)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (406)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (406)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (406)_cam7.npy
paper,paper_1854,train,./dataset/skeleton_final_v2/paper/paper_1854.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_1854_cam0.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_1854_cam1.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_1854_cam2.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_1854_cam3.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_1854_cam4.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_1854_cam5.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_1854_cam6.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_1854_cam7.npy
the-finger,the-finger (121),train,./dataset/skeleton_final_v2/the-finger/the-finger (121).npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (121)_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (121)_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (121)_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (121)_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (121)_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (121)_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (121)_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (121)_cam7.npy
scissors,scissors-set2 (320),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (320).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (320)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (320)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (320)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (320)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (320)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (320)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (320)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (320)_cam7.npy
ok,ok_6992,train,./dataset/skeleton_final_v2/ok/ok_6992.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6992_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6992_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6992_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6992_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6992_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6992_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6992_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_6992_cam7.npy
scissors,scissors (158),train,./dataset/skeleton_final_v2/scissors/scissors (158).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (158)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (158)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (158)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (158)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (158)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (158)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (158)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors (158)_cam7.npy
scissors,scissors-set2 (573),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (573).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (573)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (573)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (573)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (573)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (573)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (573)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (573)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (573)_cam7.npy
thumbdown,thumbdown_8214,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_8214.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_8214_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_8214_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_8214_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_8214_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_8214_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_8214_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_8214_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown_8214_cam7.npy
ok,ok_803,train,./dataset/skeleton_final_v2/ok/ok_803.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_803_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_803_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_803_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_803_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_803_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_803_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_803_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_803_cam7.npy
ok,ok_7674,train,./dataset/skeleton_final_v2/ok/ok_7674.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_7674_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_7674_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_7674_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_7674_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_7674_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_7674_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_7674_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_7674_cam7.npy
the-finger,the-finger (150),train,./dataset/skeleton_final_v2/the-finger/the-finger (150).npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (150)_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (150)_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (150)_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (150)_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (150)_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (150)_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (150)_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger (150)_cam7.npy
the-finger,the-finger_7260,train,./dataset/skeleton_final_v2/the-finger/the-finger_7260.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7260_cam0.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7260_cam1.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7260_cam2.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7260_cam3.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7260_cam4.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7260_cam5.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7260_cam6.npy,./dataset/salux_multiview3d_8cam_front/the-finger/the-finger_7260_cam7.npy
scissors,scissors-set2 (567),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (567).npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (567)_cam0.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (567)_cam1.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (567)_cam2.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (567)_cam3.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (567)_cam4.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (567)_cam5.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (567)_cam6.npy,./dataset/salux_multiview3d_8cam_front/scissors/scissors-set2 (567)_cam7.npy
ok,ok_Set2_ (273),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (273).npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (273)_cam0.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (273)_cam1.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (273)_cam2.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (273)_cam3.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (273)_cam4.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (273)_cam5.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (273)_cam6.npy,./dataset/salux_multiview3d_8cam_front/ok/ok_Set2_ (273)_cam7.npy
paper,paper_25,train,./dataset/skeleton_final_v2/paper/paper_25.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_25_cam0.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_25_cam1.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_25_cam2.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_25_cam3.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_25_cam4.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_25_cam5.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_25_cam6.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_25_cam7.npy
paper,paper_4609,train,./dataset/skeleton_final_v2/paper/paper_4609.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_4609_cam0.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_4609_cam1.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_4609_cam2.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_4609_cam3.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_4609_cam4.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_4609_cam5.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_4609_cam6.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_4609_cam7.npy
paper,paper_2499,train,./dataset/skeleton_final_v2/paper/paper_2499.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_2499_cam0.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_2499_cam1.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_2499_cam2.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_2499_cam3.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_2499_cam4.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_2499_cam5.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_2499_cam6.npy,./dataset/salux_multiview3d_8cam_front/paper/paper_2499_cam7.npy
thumbdown,thumbdown (54),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (54).npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (54)_cam0.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (54)_cam1.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (54)_cam2.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (54)_cam3.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (54)_cam4.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (54)_cam5.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (54)_cam6.npy,./dataset/salux_multiview3d_8cam_front/thumbdown/thumbdown (54)_cam7.npy
