action,source_action,sample_id,split,raw_path,refined_path
thumb,thumbdown,thumbdown (261),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (261).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (261).npy
thumb,thumbdown,thumbdown_5311,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_5311.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_5311.npy
thumb,thumbup,thumbup_6002,train,./dataset/skeleton_final_v2/thumbup/thumbup_6002.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_6002.npy
the-finger,the-finger,the-finger-set2 (321),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (321).npy,./batch_thefinger/fitted/the-finger-set2 (321).npy
thumb,thumbdown,thumbdown (37),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (37).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (37).npy
thumb,thumbup,thumbup (56),train,./dataset/skeleton_final_v2/thumbup/thumbup (56).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (56).npy
scissors,scissors,scissors-set2 (587),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (587).npy,./batch_scissors/fitted/scissors-set2 (587).npy
ok,ok,ok_Set2_ (443),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (443).npy,./batch_ok/fitted/ok_Set2_ (443).npy
paper,paper,paper_7968,train,./dataset/skeleton_final_v2/paper/paper_7968.npy,./batch_paper/fitted/paper_7968.npy
scissors,scissors,scissors_6967,train,./dataset/skeleton_final_v2/scissors/scissors_6967.npy,./batch_scissors/fitted/scissors_6967.npy
scissors,scissors,scissors-set2 (426),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (426).npy,./batch_scissors/fitted/scissors-set2 (426).npy
rock,rock,rock (6),train,./dataset/skeleton_final_v2/rock/rock (6).npy,./batch_rock/fitted/rock (6).npy
paper,paper,paper (261),train,./dataset/skeleton_final_v2/paper/paper (261).npy,./batch_paper/fitted/paper (261).npy
paper,paper,paper-set2 (366),train,./dataset/skeleton_final_v2/paper/paper-set2 (366).npy,./batch_paper/fitted/paper-set2 (366).npy
the-finger,the-finger,the-finger_7488,train,./dataset/skeleton_final_v2/the-finger/the-finger_7488.npy,./batch_thefinger/fitted/the-finger_7488.npy
paper,paper,paper-set2 (398),train,./dataset/skeleton_final_v2/paper/paper-set2 (398).npy,./batch_paper/fitted/paper-set2 (398).npy
scissors,scissors,scissors-set2 (664),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (664).npy,./batch_scissors/fitted/scissors-set2 (664).npy
ok,ok,ok_7010,train,./dataset/skeleton_final_v2/ok/ok_7010.npy,./batch_ok/fitted/ok_7010.npy
thumb,thumbup,thumbup (314),train,./dataset/skeleton_final_v2/thumbup/thumbup (314).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (314).npy
the-finger,the-finger,the-finger (39),train,./dataset/skeleton_final_v2/the-finger/the-finger (39).npy,./batch_thefinger/fitted/the-finger (39).npy
thumb,thumbup,thumbup (206),train,./dataset/skeleton_final_v2/thumbup/thumbup (206).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (206).npy
ok,ok,ok_7685,train,./dataset/skeleton_final_v2/ok/ok_7685.npy,./batch_ok/fitted/ok_7685.npy
paper,paper,paper-set2 (177),train,./dataset/skeleton_final_v2/paper/paper-set2 (177).npy,./batch_paper/fitted/paper-set2 (177).npy
thumb,thumbup,hand-11-2155,train,./dataset/skeleton_final_v2/thumbup/hand-11-2155.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/hand-11-2155.npy
rock,rock,rock-set2 (284),train,./dataset/skeleton_final_v2/rock/rock-set2 (284).npy,./batch_rock/fitted/rock-set2 (284).npy
thumb,thumbdown,thumbdown_2241,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_2241.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_2241.npy
the-finger,the-finger,the-finger-set2 (218),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (218).npy,./batch_thefinger/fitted/the-finger-set2 (218).npy
the-finger,the-finger,the-finger_6465,train,./dataset/skeleton_final_v2/the-finger/the-finger_6465.npy,./batch_thefinger/fitted/the-finger_6465.npy
rock,rock,rock_6321,train,./dataset/skeleton_final_v2/rock/rock_6321.npy,./batch_rock/fitted/rock_6321.npy
paper,paper,paper_4597,train,./dataset/skeleton_final_v2/paper/paper_4597.npy,./batch_paper/fitted/paper_4597.npy
paper,paper,paper_6707,train,./dataset/skeleton_final_v2/paper/paper_6707.npy,./batch_paper/fitted/paper_6707.npy
ok,ok,ok_72,train,./dataset/skeleton_final_v2/ok/ok_72.npy,./batch_ok/fitted/ok_72.npy
the-finger,the-finger,the-finger (114),train,./dataset/skeleton_final_v2/the-finger/the-finger (114).npy,./batch_thefinger/fitted/the-finger (114).npy
scissors,scissors,scissors_53,train,./dataset/skeleton_final_v2/scissors/scissors_53.npy,./batch_scissors/fitted/scissors_53.npy
paper,paper,paper-set2 (160),train,./dataset/skeleton_final_v2/paper/paper-set2 (160).npy,./batch_paper/fitted/paper-set2 (160).npy
thumb,thumbdown,thumbdown_4359,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_4359.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_4359.npy
scissors,scissors,scissors-set2 (134),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (134).npy,./batch_scissors/fitted/scissors-set2 (134).npy
the-finger,the-finger,the-finger-set2 (277),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (277).npy,./batch_thefinger/fitted/the-finger-set2 (277).npy
thumb,thumbdown,thumbdown (216),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (216).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (216).npy
thumb,thumbdown,thumbdown (198),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (198).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (198).npy
the-finger,the-finger,the-finger (126),train,./dataset/skeleton_final_v2/the-finger/the-finger (126).npy,./batch_thefinger/fitted/the-finger (126).npy
scissors,scissors,scissors (57),train,./dataset/skeleton_final_v2/scissors/scissors (57).npy,./batch_scissors/fitted/scissors (57).npy
thumb,thumbup,thumbup_4150,train,./dataset/skeleton_final_v2/thumbup/thumbup_4150.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_4150.npy
ok,ok,ok_Set2_ (359),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (359).npy,./batch_ok/fitted/ok_Set2_ (359).npy
thumb,thumbdown,thumbdown_6451,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_6451.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_6451.npy
scissors,scissors,scissors_756,train,./dataset/skeleton_final_v2/scissors/scissors_756.npy,./batch_scissors/fitted/scissors_756.npy
thumb,thumbup,thumbup_137,train,./dataset/skeleton_final_v2/thumbup/thumbup_137.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_137.npy
ok,ok,ok (119),train,./dataset/skeleton_final_v2/ok/ok (119).npy,./batch_ok/fitted/ok (119).npy
paper,paper,paper-set2 (264),train,./dataset/skeleton_final_v2/paper/paper-set2 (264).npy,./batch_paper/fitted/paper-set2 (264).npy
the-finger,the-finger,the-finger (7),train,./dataset/skeleton_final_v2/the-finger/the-finger (7).npy,./batch_thefinger/fitted/the-finger (7).npy
ok,ok,ok (156),train,./dataset/skeleton_final_v2/ok/ok (156).npy,./batch_ok/fitted/ok (156).npy
scissors,scissors,scissors-set2 (115),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (115).npy,./batch_scissors/fitted/scissors-set2 (115).npy
thumb,thumbdown,thumbdown_1293,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_1293.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_1293.npy
paper,paper,paper_2566,train,./dataset/skeleton_final_v2/paper/paper_2566.npy,./batch_paper/fitted/paper_2566.npy
thumb,thumbdown,thumbdown_9018,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_9018.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_9018.npy
thumb,thumbup,thumbup (39),train,./dataset/skeleton_final_v2/thumbup/thumbup (39).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (39).npy
the-finger,the-finger,the-finger_7496,train,./dataset/skeleton_final_v2/the-finger/the-finger_7496.npy,./batch_thefinger/fitted/the-finger_7496.npy
paper,paper,paper-set2 (200),train,./dataset/skeleton_final_v2/paper/paper-set2 (200).npy,./batch_paper/fitted/paper-set2 (200).npy
thumb,thumbdown,thumbdown (96),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (96).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (96).npy
rock,rock,rock-set2 (605),train,./dataset/skeleton_final_v2/rock/rock-set2 (605).npy,./batch_rock/fitted/rock-set2 (605).npy
the-finger,the-finger,the-finger-set2 (338),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (338).npy,./batch_thefinger/fitted/the-finger-set2 (338).npy
thumb,thumbdown,thumbdown_554,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_554.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_554.npy
scissors,scissors,scissors (268),train,./dataset/skeleton_final_v2/scissors/scissors (268).npy,./batch_scissors/fitted/scissors (268).npy
thumb,thumbdown,hand-9-2125,train,./dataset/skeleton_final_v2/thumbdown/hand-9-2125.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/hand-9-2125.npy
ok,ok,ok (13),train,./dataset/skeleton_final_v2/ok/ok (13).npy,./batch_ok/fitted/ok (13).npy
ok,ok,ok (34),train,./dataset/skeleton_final_v2/ok/ok (34).npy,./batch_ok/fitted/ok (34).npy
thumb,thumbup,thumbup_6759,train,./dataset/skeleton_final_v2/thumbup/thumbup_6759.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_6759.npy
the-finger,the-finger,the-finger_7479,train,./dataset/skeleton_final_v2/the-finger/the-finger_7479.npy,./batch_thefinger/fitted/the-finger_7479.npy
the-finger,the-finger,the-finger-set2 (9),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (9).npy,./batch_thefinger/fitted/the-finger-set2 (9).npy
scissors,scissors,scissors (328),train,./dataset/skeleton_final_v2/scissors/scissors (328).npy,./batch_scissors/fitted/scissors (328).npy
paper,paper,paper-set2 (211),train,./dataset/skeleton_final_v2/paper/paper-set2 (211).npy,./batch_paper/fitted/paper-set2 (211).npy
paper,paper,paper_2479,train,./dataset/skeleton_final_v2/paper/paper_2479.npy,./batch_paper/fitted/paper_2479.npy
paper,paper,paper (258),train,./dataset/skeleton_final_v2/paper/paper (258).npy,./batch_paper/fitted/paper (258).npy
paper,paper,paper_727,train,./dataset/skeleton_final_v2/paper/paper_727.npy,./batch_paper/fitted/paper_727.npy
thumb,thumbup,hand-10-2105,train,./dataset/skeleton_final_v2/thumbup/hand-10-2105.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/hand-10-2105.npy
the-finger,the-finger,the-finger-set2 (105),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (105).npy,./batch_thefinger/fitted/the-finger-set2 (105).npy
rock,rock,rock-set2 (567),train,./dataset/skeleton_final_v2/rock/rock-set2 (567).npy,./batch_rock/fitted/rock-set2 (567).npy
the-finger,the-finger,the-finger-set2 (193),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (193).npy,./batch_thefinger/fitted/the-finger-set2 (193).npy
rock,rock,rock (188),train,./dataset/skeleton_final_v2/rock/rock (188).npy,./batch_rock/fitted/rock (188).npy
rock,rock,rock-set2 (170),train,./dataset/skeleton_final_v2/rock/rock-set2 (170).npy,./batch_rock/fitted/rock-set2 (170).npy
thumb,thumbup,thumbup_2071,train,./dataset/skeleton_final_v2/thumbup/thumbup_2071.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_2071.npy
scissors,scissors,scissors_3880,train,./dataset/skeleton_final_v2/scissors/scissors_3880.npy,./batch_scissors/fitted/scissors_3880.npy
ok,ok,ok_Set2_ (96),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (96).npy,./batch_ok/fitted/ok_Set2_ (96).npy
scissors,scissors,scissors-set2 (623),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (623).npy,./batch_scissors/fitted/scissors-set2 (623).npy
the-finger,the-finger,the-finger_6075,train,./dataset/skeleton_final_v2/the-finger/the-finger_6075.npy,./batch_thefinger/fitted/the-finger_6075.npy
thumb,thumbup,thumbup (460),train,./dataset/skeleton_final_v2/thumbup/thumbup (460).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (460).npy
paper,paper,paper-set2 (143),train,./dataset/skeleton_final_v2/paper/paper-set2 (143).npy,./batch_paper/fitted/paper-set2 (143).npy
the-finger,the-finger,the-finger-set2 (418),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (418).npy,./batch_thefinger/fitted/the-finger-set2 (418).npy
thumb,thumbup,thumbup_8108,train,./dataset/skeleton_final_v2/thumbup/thumbup_8108.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_8108.npy
ok,ok,ok_7676,train,./dataset/skeleton_final_v2/ok/ok_7676.npy,./batch_ok/fitted/ok_7676.npy
the-finger,the-finger,the-finger (27),train,./dataset/skeleton_final_v2/the-finger/the-finger (27).npy,./batch_thefinger/fitted/the-finger (27).npy
paper,paper,paper (183),train,./dataset/skeleton_final_v2/paper/paper (183).npy,./batch_paper/fitted/paper (183).npy
paper,paper,paper_5475,train,./dataset/skeleton_final_v2/paper/paper_5475.npy,./batch_paper/fitted/paper_5475.npy
scissors,scissors,scissors (308),train,./dataset/skeleton_final_v2/scissors/scissors (308).npy,./batch_scissors/fitted/scissors (308).npy
scissors,scissors,scissors-set2 (611),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (611).npy,./batch_scissors/fitted/scissors-set2 (611).npy
rock,rock,rock-set2 (162),train,./dataset/skeleton_final_v2/rock/rock-set2 (162).npy,./batch_rock/fitted/rock-set2 (162).npy
thumb,thumbup,thumbup (109),train,./dataset/skeleton_final_v2/thumbup/thumbup (109).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (109).npy
thumb,thumbdown,thumbdown_5344,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_5344.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_5344.npy
ok,ok,ok_Set2_ (533),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (533).npy,./batch_ok/fitted/ok_Set2_ (533).npy
rock,rock,rock-set2 (592),train,./dataset/skeleton_final_v2/rock/rock-set2 (592).npy,./batch_rock/fitted/rock-set2 (592).npy
ok,ok,ok_2017,train,./dataset/skeleton_final_v2/ok/ok_2017.npy,./batch_ok/fitted/ok_2017.npy
rock,rock,rock-set2 (481),train,./dataset/skeleton_final_v2/rock/rock-set2 (481).npy,./batch_rock/fitted/rock-set2 (481).npy
paper,paper,paper_7308,train,./dataset/skeleton_final_v2/paper/paper_7308.npy,./batch_paper/fitted/paper_7308.npy
thumb,thumbup,hand-10-2595,train,./dataset/skeleton_final_v2/thumbup/hand-10-2595.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/hand-10-2595.npy
paper,paper,paper-set2 (276),train,./dataset/skeleton_final_v2/paper/paper-set2 (276).npy,./batch_paper/fitted/paper-set2 (276).npy
the-finger,the-finger,the-finger-set2 (153),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (153).npy,./batch_thefinger/fitted/the-finger-set2 (153).npy
ok,ok,ok (229),train,./dataset/skeleton_final_v2/ok/ok (229).npy,./batch_ok/fitted/ok (229).npy
thumb,thumbdown,thumbdown_4420,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_4420.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_4420.npy
paper,paper,paper_719,train,./dataset/skeleton_final_v2/paper/paper_719.npy,./batch_paper/fitted/paper_719.npy
rock,rock,rock-set2 (59),train,./dataset/skeleton_final_v2/rock/rock-set2 (59).npy,./batch_rock/fitted/rock-set2 (59).npy
ok,ok,ok_Set2_ (322),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (322).npy,./batch_ok/fitted/ok_Set2_ (322).npy
thumb,thumbup,thumbup (289),train,./dataset/skeleton_final_v2/thumbup/thumbup (289).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (289).npy
thumb,thumbdown,hand-9-2005,train,./dataset/skeleton_final_v2/thumbdown/hand-9-2005.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/hand-9-2005.npy
rock,rock,rock_7513,train,./dataset/skeleton_final_v2/rock/rock_7513.npy,./batch_rock/fitted/rock_7513.npy
paper,paper,paper (40),train,./dataset/skeleton_final_v2/paper/paper (40).npy,./batch_paper/fitted/paper (40).npy
thumb,thumbup,thumbup_8124,train,./dataset/skeleton_final_v2/thumbup/thumbup_8124.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_8124.npy
ok,ok,ok (126),train,./dataset/skeleton_final_v2/ok/ok (126).npy,./batch_ok/fitted/ok (126).npy
paper,paper,paper-set2 (72),train,./dataset/skeleton_final_v2/paper/paper-set2 (72).npy,./batch_paper/fitted/paper-set2 (72).npy
paper,paper,paper-set2 (156),train,./dataset/skeleton_final_v2/paper/paper-set2 (156).npy,./batch_paper/fitted/paper-set2 (156).npy
scissors,scissors,scissors (333),train,./dataset/skeleton_final_v2/scissors/scissors (333).npy,./batch_scissors/fitted/scissors (333).npy
thumb,thumbdown,thumbdown (136),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (136).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (136).npy
scissors,scissors,scissors-set2 (480),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (480).npy,./batch_scissors/fitted/scissors-set2 (480).npy
the-finger,the-finger,the-finger-set2 (409),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (409).npy,./batch_thefinger/fitted/the-finger-set2 (409).npy
the-finger,the-finger,the-finger-set2 (403),train,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (403).npy,./batch_thefinger/fitted/the-finger-set2 (403).npy
thumb,thumbdown,thumbdown (260),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (260).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (260).npy
ok,ok,ok_Set2_ (535),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (535).npy,./batch_ok/fitted/ok_Set2_ (535).npy
ok,ok,ok_6180,train,./dataset/skeleton_final_v2/ok/ok_6180.npy,./batch_ok/fitted/ok_6180.npy
scissors,scissors,scissors_6372,train,./dataset/skeleton_final_v2/scissors/scissors_6372.npy,./batch_scissors/fitted/scissors_6372.npy
rock,rock,rock-set2 (202),train,./dataset/skeleton_final_v2/rock/rock-set2 (202).npy,./batch_rock/fitted/rock-set2 (202).npy
thumb,thumbup,thumbup (242),train,./dataset/skeleton_final_v2/thumbup/thumbup (242).npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup (242).npy
rock,rock,rock-set2 (16),train,./dataset/skeleton_final_v2/rock/rock-set2 (16).npy,./batch_rock/fitted/rock-set2 (16).npy
the-finger,the-finger,the-finger_5644,train,./dataset/skeleton_final_v2/the-finger/the-finger_5644.npy,./batch_thefinger/fitted/the-finger_5644.npy
thumb,thumbdown,thumbdown_1313,train,./dataset/skeleton_final_v2/thumbdown/thumbdown_1313.npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown_1313.npy
thumb,thumbup,thumbup_4200,train,./dataset/skeleton_final_v2/thumbup/thumbup_4200.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_4200.npy
thumb,thumbup,thumbup_6764,train,./dataset/skeleton_final_v2/thumbup/thumbup_6764.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/thumbup_6764.npy
thumb,thumbdown,thumbdown (19),train,./dataset/skeleton_final_v2/thumbdown/thumbdown (19).npy,./data/salux_refined_6cls/thumb_sources/thumbdown/fitted/thumbdown (19).npy
the-finger,the-finger,the-finger_3523,train,./dataset/skeleton_final_v2/the-finger/the-finger_3523.npy,./batch_thefinger/fitted/the-finger_3523.npy
paper,paper,paper (114),train,./dataset/skeleton_final_v2/paper/paper (114).npy,./batch_paper/fitted/paper (114).npy
scissors,scissors,scissors_6166,train,./dataset/skeleton_final_v2/scissors/scissors_6166.npy,./batch_scissors/fitted/scissors_6166.npy
thumb,thumbup,hand-10-2535,train,./dataset/skeleton_final_v2/thumbup/hand-10-2535.npy,./data/salux_refined_6cls/thumb_sources/thumbup/fitted/hand-10-2535.npy
scissors,scissors,scissors-set2 (248),train,./dataset/skeleton_final_v2/scissors/scissors-set2 (248).npy,./batch_scissors/fitted/scissors-set2 (248).npy
ok,ok,ok_Set2_ (513),train,./dataset/skeleton_final_v2/ok/ok_Set2_ (513).npy,./batch_ok/fitted/ok_Set2_ (513).npy
