action,sample_id,split,image_path,skeleton_path
scissors,scissors (158),train,./data/raw/FullLabelled/scissors/scissors (158).jpg,./dataset/skeleton_final_v2/scissors/scissors (158).npy
scissors,scissors-set2 (573),train,./data/raw/FullLabelled/scissors/scissors-set2 (573).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (573).npy
ok,ok_803,train,./data/raw/FullLabelled/ok/ok_803.jpg,./dataset/skeleton_final_v2/ok/ok_803.npy
ok,ok_7674,train,./data/raw/FullLabelled/ok/ok_7674.jpg,./dataset/skeleton_final_v2/ok/ok_7674.npy
the-finger,the-finger (150),train,./data/raw/FullLabelled/the-finger/the-finger (150).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (150).npy
the-finger,the-finger_7260,train,./data/raw/FullLabelled/the-finger/the-finger_7260.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_7260.npy
scissors,scissors-set2 (567),train,./data/raw/FullLabelled/scissors/scissors-set2 (567).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (567).npy
ok,ok_Set2_ (273),train,./data/raw/FullLabelled/ok/ok_Set2_ (273).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (273).npy
paper,paper_25,train,./data/raw/FullLabelled/paper/paper_25.jpg,./dataset/skeleton_final_v2/paper/paper_25.npy
paper,paper_4609,train,./data/raw/FullLabelled/paper/paper_4609.jpg,./dataset/skeleton_final_v2/paper/paper_4609.npy
paper,paper_2499,train,./data/raw/FullLabelled/paper/paper_2499.jpg,./dataset/skeleton_final_v2/paper/paper_2499.npy
paper,paper (44),train,./data/raw/FullLabelled/paper/paper (44).jpg,./dataset/skeleton_final_v2/paper/paper (44).npy
rock,rock (19),train,./data/raw/FullLabelled/rock/rock (19).jpg,./dataset/skeleton_final_v2/rock/rock (19).npy
ok,ok_1197,train,./data/raw/FullLabelled/ok/ok_1197.jpg,./dataset/skeleton_final_v2/ok/ok_1197.npy
scissors,scissors (74),train,./data/raw/FullLabelled/scissors/scissors (74).jpg,./dataset/skeleton_final_v2/scissors/scissors (74).npy
the-finger,the-finger-set2 (321),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (321).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (321).npy
scissors,scissors-set2 (587),train,./data/raw/FullLabelled/scissors/scissors-set2 (587).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (587).npy
ok,ok_Set2_ (443),train,./data/raw/FullLabelled/ok/ok_Set2_ (443).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (443).npy
paper,paper_7968,train,./data/raw/FullLabelled/paper/paper_7968.jpg,./dataset/skeleton_final_v2/paper/paper_7968.npy
scissors,scissors_6967,train,./data/raw/FullLabelled/scissors/scissors_6967.jpg,./dataset/skeleton_final_v2/scissors/scissors_6967.npy
scissors,scissors-set2 (426),train,./data/raw/FullLabelled/scissors/scissors-set2 (426).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (426).npy
rock,rock (6),train,./data/raw/FullLabelled/rock/rock (6).jpg,./dataset/skeleton_final_v2/rock/rock (6).npy
paper,paper (261),train,./data/raw/FullLabelled/paper/paper (261).jpg,./dataset/skeleton_final_v2/paper/paper (261).npy
paper,paper-set2 (366),train,./data/raw/FullLabelled/paper/paper-set2 (366).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (366).npy
the-finger,the-finger_7488,train,./data/raw/FullLabelled/the-finger/the-finger_7488.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_7488.npy
paper,paper-set2 (398),train,./data/raw/FullLabelled/paper/paper-set2 (398).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (398).npy
scissors,scissors-set2 (664),train,./data/raw/FullLabelled/scissors/scissors-set2 (664).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (664).npy
ok,ok_7010,train,./data/raw/FullLabelled/ok/ok_7010.jpg,./dataset/skeleton_final_v2/ok/ok_7010.npy
the-finger,the-finger (39),train,./data/raw/FullLabelled/the-finger/the-finger (39).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (39).npy
ok,ok_7685,train,./data/raw/FullLabelled/ok/ok_7685.jpg,./dataset/skeleton_final_v2/ok/ok_7685.npy
paper,paper-set2 (177),train,./data/raw/FullLabelled/paper/paper-set2 (177).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (177).npy
rock,rock-set2 (284),train,./data/raw/FullLabelled/rock/rock-set2 (284).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (284).npy
the-finger,the-finger-set2 (218),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (218).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (218).npy
the-finger,the-finger_6465,train,./data/raw/FullLabelled/the-finger/the-finger_6465.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_6465.npy
rock,rock_6321,train,./data/raw/FullLabelled/rock/rock_6321.jpg,./dataset/skeleton_final_v2/rock/rock_6321.npy
paper,paper_4597,train,./data/raw/FullLabelled/paper/paper_4597.jpg,./dataset/skeleton_final_v2/paper/paper_4597.npy
paper,paper_6707,train,./data/raw/FullLabelled/paper/paper_6707.jpg,./dataset/skeleton_final_v2/paper/paper_6707.npy
ok,ok_72,train,./data/raw/FullLabelled/ok/ok_72.jpg,./dataset/skeleton_final_v2/ok/ok_72.npy
the-finger,the-finger (114),train,./data/raw/FullLabelled/the-finger/the-finger (114).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (114).npy
scissors,scissors_53,train,./data/raw/FullLabelled/scissors/scissors_53.jpg,./dataset/skeleton_final_v2/scissors/scissors_53.npy
paper,paper-set2 (160),train,./data/raw/FullLabelled/paper/paper-set2 (160).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (160).npy
scissors,scissors-set2 (134),train,./data/raw/FullLabelled/scissors/scissors-set2 (134).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (134).npy
the-finger,the-finger-set2 (277),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (277).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (277).npy
the-finger,the-finger (126),train,./data/raw/FullLabelled/the-finger/the-finger (126).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (126).npy
scissors,scissors (57),train,./data/raw/FullLabelled/scissors/scissors (57).jpg,./dataset/skeleton_final_v2/scissors/scissors (57).npy
ok,ok_Set2_ (359),train,./data/raw/FullLabelled/ok/ok_Set2_ (359).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (359).npy
scissors,scissors_756,train,./data/raw/FullLabelled/scissors/scissors_756.jpg,./dataset/skeleton_final_v2/scissors/scissors_756.npy
ok,ok (119),train,./data/raw/FullLabelled/ok/ok (119).jpg,./dataset/skeleton_final_v2/ok/ok (119).npy
paper,paper-set2 (264),train,./data/raw/FullLabelled/paper/paper-set2 (264).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (264).npy
the-finger,the-finger (7),train,./data/raw/FullLabelled/the-finger/the-finger (7).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (7).npy
ok,ok (156),train,./data/raw/FullLabelled/ok/ok (156).jpg,./dataset/skeleton_final_v2/ok/ok (156).npy
scissors,scissors-set2 (115),train,./data/raw/FullLabelled/scissors/scissors-set2 (115).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (115).npy
paper,paper_2566,train,./data/raw/FullLabelled/paper/paper_2566.jpg,./dataset/skeleton_final_v2/paper/paper_2566.npy
the-finger,the-finger_7496,train,./data/raw/FullLabelled/the-finger/the-finger_7496.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_7496.npy
paper,paper-set2 (200),train,./data/raw/FullLabelled/paper/paper-set2 (200).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (200).npy
rock,rock-set2 (605),train,./data/raw/FullLabelled/rock/rock-set2 (605).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (605).npy
the-finger,the-finger-set2 (338),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (338).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (338).npy
scissors,scissors (268),train,./data/raw/FullLabelled/scissors/scissors (268).jpg,./dataset/skeleton_final_v2/scissors/scissors (268).npy
ok,ok (13),train,./data/raw/FullLabelled/ok/ok (13).jpg,./dataset/skeleton_final_v2/ok/ok (13).npy
ok,ok (34),train,./data/raw/FullLabelled/ok/ok (34).jpg,./dataset/skeleton_final_v2/ok/ok (34).npy
the-finger,the-finger_7479,train,./data/raw/FullLabelled/the-finger/the-finger_7479.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_7479.npy
the-finger,the-finger-set2 (9),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (9).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (9).npy
scissors,scissors (328),train,./data/raw/FullLabelled/scissors/scissors (328).jpg,./dataset/skeleton_final_v2/scissors/scissors (328).npy
paper,paper-set2 (211),train,./data/raw/FullLabelled/paper/paper-set2 (211).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (211).npy
paper,paper_2479,train,./data/raw/FullLabelled/paper/paper_2479.jpg,./dataset/skeleton_final_v2/paper/paper_2479.npy
paper,paper (258),train,./data/raw/FullLabelled/paper/paper (258).jpg,./dataset/skeleton_final_v2/paper/paper (258).npy
paper,paper_727,train,./data/raw/FullLabelled/paper/paper_727.jpg,./dataset/skeleton_final_v2/paper/paper_727.npy
the-finger,the-finger-set2 (105),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (105).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (105).npy
rock,rock-set2 (567),train,./data/raw/FullLabelled/rock/rock-set2 (567).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (567).npy
the-finger,the-finger-set2 (193),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (193).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (193).npy
rock,rock (188),train,./data/raw/FullLabelled/rock/rock (188).jpg,./dataset/skeleton_final_v2/rock/rock (188).npy
rock,rock-set2 (170),train,./data/raw/FullLabelled/rock/rock-set2 (170).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (170).npy
scissors,scissors_3880,train,./data/raw/FullLabelled/scissors/scissors_3880.jpg,./dataset/skeleton_final_v2/scissors/scissors_3880.npy
ok,ok_Set2_ (96),train,./data/raw/FullLabelled/ok/ok_Set2_ (96).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (96).npy
scissors,scissors-set2 (623),train,./data/raw/FullLabelled/scissors/scissors-set2 (623).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (623).npy
the-finger,the-finger_6075,train,./data/raw/FullLabelled/the-finger/the-finger_6075.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_6075.npy
paper,paper-set2 (143),train,./data/raw/FullLabelled/paper/paper-set2 (143).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (143).npy
the-finger,the-finger-set2 (418),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (418).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (418).npy
ok,ok_7676,train,./data/raw/FullLabelled/ok/ok_7676.jpg,./dataset/skeleton_final_v2/ok/ok_7676.npy
the-finger,the-finger (27),train,./data/raw/FullLabelled/the-finger/the-finger (27).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (27).npy
paper,paper (183),train,./data/raw/FullLabelled/paper/paper (183).jpg,./dataset/skeleton_final_v2/paper/paper (183).npy
paper,paper_5475,train,./data/raw/FullLabelled/paper/paper_5475.jpg,./dataset/skeleton_final_v2/paper/paper_5475.npy
scissors,scissors (308),train,./data/raw/FullLabelled/scissors/scissors (308).jpg,./dataset/skeleton_final_v2/scissors/scissors (308).npy
scissors,scissors-set2 (611),train,./data/raw/FullLabelled/scissors/scissors-set2 (611).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (611).npy
rock,rock-set2 (162),train,./data/raw/FullLabelled/rock/rock-set2 (162).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (162).npy
ok,ok_Set2_ (533),train,./data/raw/FullLabelled/ok/ok_Set2_ (533).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (533).npy
rock,rock-set2 (592),train,./data/raw/FullLabelled/rock/rock-set2 (592).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (592).npy
ok,ok_2017,train,./data/raw/FullLabelled/ok/ok_2017.jpg,./dataset/skeleton_final_v2/ok/ok_2017.npy
rock,rock-set2 (481),train,./data/raw/FullLabelled/rock/rock-set2 (481).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (481).npy
paper,paper_7308,train,./data/raw/FullLabelled/paper/paper_7308.jpg,./dataset/skeleton_final_v2/paper/paper_7308.npy
paper,paper-set2 (276),train,./data/raw/FullLabelled/paper/paper-set2 (276).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (276).npy
the-finger,the-finger-set2 (153),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (153).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (153).npy
ok,ok (229),train,./data/raw/FullLabelled/ok/ok (229).jpg,./dataset/skeleton_final_v2/ok/ok (229).npy
paper,paper_719,train,./data/raw/FullLabelled/paper/paper_719.jpg,./dataset/skeleton_final_v2/paper/paper_719.npy
rock,rock-set2 (59),train,./data/raw/FullLabelled/rock/rock-set2 (59).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (59).npy
ok,ok_Set2_ (322),train,./data/raw/FullLabelled/ok/ok_Set2_ (322).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (322).npy
rock,rock_7513,train,./data/raw/FullLabelled/rock/rock_7513.jpg,./dataset/skeleton_final_v2/rock/rock_7513.npy
paper,paper (40),train,./data/raw/FullLabelled/paper/paper (40).jpg,./dataset/skeleton_final_v2/paper/paper (40).npy
ok,ok (126),train,./data/raw/FullLabelled/ok/ok (126).jpg,./dataset/skeleton_final_v2/ok/ok (126).npy
paper,paper-set2 (72),train,./data/raw/FullLabelled/paper/paper-set2 (72).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (72).npy
paper,paper-set2 (156),train,./data/raw/FullLabelled/paper/paper-set2 (156).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (156).npy
scissors,scissors (333),train,./data/raw/FullLabelled/scissors/scissors (333).jpg,./dataset/skeleton_final_v2/scissors/scissors (333).npy
scissors,scissors-set2 (480),train,./data/raw/FullLabelled/scissors/scissors-set2 (480).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (480).npy
the-finger,the-finger-set2 (409),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (409).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (409).npy
the-finger,the-finger-set2 (403),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (403).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (403).npy
ok,ok_Set2_ (535),train,./data/raw/FullLabelled/ok/ok_Set2_ (535).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (535).npy
ok,ok_6180,train,./data/raw/FullLabelled/ok/ok_6180.jpg,./dataset/skeleton_final_v2/ok/ok_6180.npy
scissors,scissors_6372,train,./data/raw/FullLabelled/scissors/scissors_6372.jpg,./dataset/skeleton_final_v2/scissors/scissors_6372.npy
rock,rock-set2 (202),train,./data/raw/FullLabelled/rock/rock-set2 (202).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (202).npy
rock,rock-set2 (16),train,./data/raw/FullLabelled/rock/rock-set2 (16).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (16).npy
the-finger,the-finger_5644,train,./data/raw/FullLabelled/the-finger/the-finger_5644.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_5644.npy
the-finger,the-finger_3523,train,./data/raw/FullLabelled/the-finger/the-finger_3523.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_3523.npy
paper,paper (114),train,./data/raw/FullLabelled/paper/paper (114).jpg,./dataset/skeleton_final_v2/paper/paper (114).npy
scissors,scissors_6166,train,./data/raw/FullLabelled/scissors/scissors_6166.jpg,./dataset/skeleton_final_v2/scissors/scissors_6166.npy
scissors,scissors-set2 (248),train,./data/raw/FullLabelled/scissors/scissors-set2 (248).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (248).npy
ok,ok_Set2_ (513),train,./data/raw/FullLabelled/ok/ok_Set2_ (513).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (513).npy
rock,rock-set2 (340),train,./data/raw/FullLabelled/rock/rock-set2 (340).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (340).npy
scissors,scissors-set2 (730),train,./data/raw/FullLabelled/scissors/scissors-set2 (730).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (730).npy
scissors,scissors-set2 (577),train,./data/raw/FullLabelled/scissors/scissors-set2 (577).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (577).npy
scissors,scissors-set2 (333),train,./data/raw/FullLabelled/scissors/scissors-set2 (333).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (333).npy
the-finger,the-finger_7072,train,./data/raw/FullLabelled/the-finger/the-finger_7072.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_7072.npy
scissors,scissors-set2 (393),train,./data/raw/FullLabelled/scissors/scissors-set2 (393).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (393).npy
ok,ok_2725,train,./data/raw/FullLabelled/ok/ok_2725.jpg,./dataset/skeleton_final_v2/ok/ok_2725.npy
scissors,scissors-set2 (317),train,./data/raw/FullLabelled/scissors/scissors-set2 (317).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (317).npy
scissors,scissors (71),train,./data/raw/FullLabelled/scissors/scissors (71).jpg,./dataset/skeleton_final_v2/scissors/scissors (71).npy
ok,ok_Set2_ (446),train,./data/raw/FullLabelled/ok/ok_Set2_ (446).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (446).npy
paper,paper-set2 (502),train,./data/raw/FullLabelled/paper/paper-set2 (502).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (502).npy
paper,paper_2545,train,./data/raw/FullLabelled/paper/paper_2545.jpg,./dataset/skeleton_final_v2/paper/paper_2545.npy
paper,paper (237),train,./data/raw/FullLabelled/paper/paper (237).jpg,./dataset/skeleton_final_v2/paper/paper (237).npy
the-finger,the-finger (38),train,./data/raw/FullLabelled/the-finger/the-finger (38).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (38).npy
the-finger,the-finger (155),train,./data/raw/FullLabelled/the-finger/the-finger (155).jpg,./dataset/skeleton_final_v2/the-finger/the-finger (155).npy
scissors,scissors (177),train,./data/raw/FullLabelled/scissors/scissors (177).jpg,./dataset/skeleton_final_v2/scissors/scissors (177).npy
the-finger,the-finger_5355,train,./data/raw/FullLabelled/the-finger/the-finger_5355.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_5355.npy
rock,rock-set2 (435),train,./data/raw/FullLabelled/rock/rock-set2 (435).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (435).npy
the-finger,the-finger-set2 (19),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (19).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (19).npy
paper,paper-set2 (443),train,./data/raw/FullLabelled/paper/paper-set2 (443).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (443).npy
scissors,scissors-set2 (37),train,./data/raw/FullLabelled/scissors/scissors-set2 (37).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (37).npy
scissors,scissors-set2 (273),train,./data/raw/FullLabelled/scissors/scissors-set2 (273).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (273).npy
ok,ok_Set2_ (278),train,./data/raw/FullLabelled/ok/ok_Set2_ (278).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (278).npy
paper,paper (259),train,./data/raw/FullLabelled/paper/paper (259).jpg,./dataset/skeleton_final_v2/paper/paper (259).npy
paper,paper_4568,train,./data/raw/FullLabelled/paper/paper_4568.jpg,./dataset/skeleton_final_v2/paper/paper_4568.npy
ok,ok_6577,train,./data/raw/FullLabelled/ok/ok_6577.jpg,./dataset/skeleton_final_v2/ok/ok_6577.npy
paper,paper-set2 (271),train,./data/raw/FullLabelled/paper/paper-set2 (271).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (271).npy
ok,ok (147),train,./data/raw/FullLabelled/ok/ok (147).jpg,./dataset/skeleton_final_v2/ok/ok (147).npy
ok,ok_2960,train,./data/raw/FullLabelled/ok/ok_2960.jpg,./dataset/skeleton_final_v2/ok/ok_2960.npy
paper,paper_2550,train,./data/raw/FullLabelled/paper/paper_2550.jpg,./dataset/skeleton_final_v2/paper/paper_2550.npy
scissors,scissors_6953,train,./data/raw/FullLabelled/scissors/scissors_6953.jpg,./dataset/skeleton_final_v2/scissors/scissors_6953.npy
ok,ok (107),train,./data/raw/FullLabelled/ok/ok (107).jpg,./dataset/skeleton_final_v2/ok/ok (107).npy
ok,ok_Set2_ (346),train,./data/raw/FullLabelled/ok/ok_Set2_ (346).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (346).npy
the-finger,the-finger_9438,train,./data/raw/FullLabelled/the-finger/the-finger_9438.jpg,./dataset/skeleton_final_v2/the-finger/the-finger_9438.npy
scissors,scissors-set2 (269),train,./data/raw/FullLabelled/scissors/scissors-set2 (269).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (269).npy
ok,ok_Set2_ (438),train,./data/raw/FullLabelled/ok/ok_Set2_ (438).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (438).npy
scissors,scissors-set2 (223),train,./data/raw/FullLabelled/scissors/scissors-set2 (223).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (223).npy
scissors,scissors-set2 (52),train,./data/raw/FullLabelled/scissors/scissors-set2 (52).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (52).npy
ok,ok_Set2_ (480),train,./data/raw/FullLabelled/ok/ok_Set2_ (480).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (480).npy
ok,ok_Set2_ (254),train,./data/raw/FullLabelled/ok/ok_Set2_ (254).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (254).npy
paper,paper_5442,train,./data/raw/FullLabelled/paper/paper_5442.jpg,./dataset/skeleton_final_v2/paper/paper_5442.npy
scissors,scissors_8456,train,./data/raw/FullLabelled/scissors/scissors_8456.jpg,./dataset/skeleton_final_v2/scissors/scissors_8456.npy
scissors,scissors-set2 (746),train,./data/raw/FullLabelled/scissors/scissors-set2 (746).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (746).npy
paper,paper_5893,train,./data/raw/FullLabelled/paper/paper_5893.jpg,./dataset/skeleton_final_v2/paper/paper_5893.npy
scissors,scissors_5504,train,./data/raw/FullLabelled/scissors/scissors_5504.jpg,./dataset/skeleton_final_v2/scissors/scissors_5504.npy
scissors,scissors_6552,train,./data/raw/FullLabelled/scissors/scissors_6552.jpg,./dataset/skeleton_final_v2/scissors/scissors_6552.npy
the-finger,the-finger-set2 (89),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (89).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (89).npy
scissors,scissors-set2 (197),train,./data/raw/FullLabelled/scissors/scissors-set2 (197).jpg,./dataset/skeleton_final_v2/scissors/scissors-set2 (197).npy
paper,paper (101),train,./data/raw/FullLabelled/paper/paper (101).jpg,./dataset/skeleton_final_v2/paper/paper (101).npy
paper,paper-set2 (55),train,./data/raw/FullLabelled/paper/paper-set2 (55).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (55).npy
paper,paper-set2 (262),train,./data/raw/FullLabelled/paper/paper-set2 (262).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (262).npy
rock,rock-set2 (570),train,./data/raw/FullLabelled/rock/rock-set2 (570).jpg,./dataset/skeleton_final_v2/rock/rock-set2 (570).npy
paper,paper-set2 (456),train,./data/raw/FullLabelled/paper/paper-set2 (456).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (456).npy
the-finger,the-finger-set2 (433),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (433).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (433).npy
ok,ok_Set2_ (34),train,./data/raw/FullLabelled/ok/ok_Set2_ (34).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (34).npy
paper,paper_8426,train,./data/raw/FullLabelled/paper/paper_8426.jpg,./dataset/skeleton_final_v2/paper/paper_8426.npy
the-finger,the-finger-set2 (99),train,./data/raw/FullLabelled/the-finger/the-finger-set2 (99).jpg,./dataset/skeleton_final_v2/the-finger/the-finger-set2 (99).npy
paper,paper-set2 (369),train,./data/raw/FullLabelled/paper/paper-set2 (369).jpg,./dataset/skeleton_final_v2/paper/paper-set2 (369).npy
ok,ok_Set2_ (139),train,./data/raw/FullLabelled/ok/ok_Set2_ (139).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (139).npy
ok,ok_Set2_ (488),train,./data/raw/FullLabelled/ok/ok_Set2_ (488).jpg,./dataset/skeleton_final_v2/ok/ok_Set2_ (488).npy
